광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,철원군,0.4,3.1
강원도,춘천시,0.4,5.2
강원도,원주시,0.4,29.2
강원도,정선군,0.4,9.4
강원도,삼척시,0.4,7.3
강원도,태백시,0.4,6.2
강원도,강릉시,0.4,15.6
강원도,속초시,0.4,7.3
강원도,홍천군,0.4,7.3
강원도,평창군,0.4,4.2
강원도,고성군,0.4,2.1
강원도,동해시,0.4,1.0
강원도,영월군,0.4,1.0
강원도,횡성군,0.4,1.0
경기도,평택시,2.9,6.0
경기도,성남시 수정구,2.9,1.8
경기도,용인시 기흥구,2.9,6.1
경기도,안양시 만안구,2.9,3.1
경기도,남양주시,2.9,5.2
경기도,수원시 영통구,2.9,4.5
경기도,수원시 팔달구,2.9,1.7
경기도,의왕시,2.9,1.6
경기도,하남시,2.9,2.1
경기도,양주시,2.9,1.8
경기도,수원시 장안구,2.9,3.2
경기도,화성시,2.9,5.9
경기도,구리시,2.9,2.4
경기도,여주시,2.9,1.0
경기도,안성시,2.9,2.0
경기도,오산시,2.9,1.6
경기도,포천시,2.9,2.4
경기도,광명시,2.9,1.7
경기도,과천시,2.9,1.3
경기도,양평군,2.9,1.4
경기도,고양시 덕양구,2.9,4.1
경기도,안산시 상록구,2.9,1.3
경기도,안산시 단원구,2.9,2.0
경기도,성남시 분당구,2.9,5.1
경기도,부천시,2.9,3.3
경기도,김포시,2.9,1.7
경기도,수원시 권선구,2.9,1.8
경기도,파주시,2.9,2.4
경기도,군포시,2.9,2.5
경기도,용인시 처인구,2.9,0.8
경기도,안양시 동안구,2.9,2.0
경기도,시흥시,2.9,3.2
경기도,광주시,2.9,2.1
경기도,가평군,2.9,0.4
경기도,고양시 일산서구,2.9,2.8
경기도,용인시 수지구,2.9,2.7
경기도,고양시 일산동구,2.9,1.6
경기도,성남시 중원구,2.9,1.0
경기도,의정부시,2.9,1.8
경기도,연천군,2.9,0.1
경기도,이천시,2.9,0.3
경기도,동두천시,2.9,0.1
경상남도,창원시 마산회원구,46.7,18.4
경상남도,창원시 의창구,46.7,15.7
경상남도,김해시,46.7,12.9
경상남도,창원시 성산구,46.7,13.6
경상남도,창원시 마산합포구,46.7,10.6
경상남도,함안군,46.7,7.1
경상남도,밀양시,46.7,5.5
경상남도,양산시,46.7,3.5
경상남도,창원시 진해구,46.7,3.6
경상남도,거제시,46.7,1.9
경상남도,진주시,46.7,2.5
경상남도,의령군,46.7,0.9
경상남도,통영시,46.7,0.7
경상남도,산청군,46.7,0.2
경상남도,거창군,46.7,0.4
경상남도,함양군,46.7,0.2
경상남도,합천군,46.7,0.7
경상남도,남해군,46.7,0.1
경상남도,사천시,46.7,0.6
경상남도,하동군,46.7,0.2
경상남도,고성군,46.7,0.6
경상남도,창녕군,46.7,0.0
경상북도,경산시,5.1,21.0
경상북도,구미시,5.1,13.0
경상북도,경주시,5.1,8.0
경상북도,김천시,5.1,5.4
경상북도,칠곡군,5.1,9.2
경상북도,포항시 북구,5.1,6.2
경상북도,청도군,5.1,11.3
경상북도,안동시,5.1,2.8
경상북도,성주군,5.1,2.5
경상북도,포항시 남구,5.1,5.2
경상북도,영천시,5.1,2.2
경상북도,상주시,5.1,1.5
경상북도,영주시,5.1,1.0
경상북도,고령군,5.1,5.6
경상북도,봉화군,5.1,0.6
경상북도,예천군,5.1,0.7
경상북도,영덕군,5.1,0.2
경상북도,군위군,5.1,0.5
경상북도,울진군,5.1,0.3
경상북도,문경시,5.1,0.9
경상북도,울릉군,5.1,0.2
경상북도,의성군,5.1,1.0
경상북도,영양군,5.1,0.2
