기준연월,방문비율
20220811,93.1
20220812,96.3
20220813,121.1
20220814,97.2
20220815,89.7
20220816,89.6
20220817,95.8
20220818,88.4
20220819,98.5
20220820,116.3
20220821,98.4
20220822,81.4
20220823,93.5
20220824,98.5
20220825,95.2
20220826,99.0
20220827,117.5
20220828,104.0
20220829,82.7
20220830,90.9
20220831,93.6
20220901,87.0
20220902,94.7
20220903,119.6
20220904,97.1
20220905,74.5
20220906,83.6
20220907,90.6
20220908,90.7
20220909,138.5
20220910,148.8
20220911,136.9
20220912,120.2
20220913,86.4
20220914,92.1
20220915,87.9
20220916,97.0
20220917,129.7
20220918,108.9
20220919,81.0
20220920,89.1
20220921,95.2
20220922,92.9
20220923,99.9
20220924,125.2
20220925,105.8
20220926,82.7
20220927,92.4
20220928,97.6
20220929,96.6
20220930,100.4
20221001,125.3
20221002,106.7
20221003,97.3
20221004,85.0
20221005,90.6
20221006,89.0
20221007,96.9
20221008,131.5
20221009,122.1
20221010,107.2
20221011,85.0
20221012,90.0
20221013,87.3
20221014,97.5
20221015,131.9
20221016,110.6
20221017,78.0
20221018,87.6
20221019,92.3
20221020,89.4
20221021,99.8
20221022,131.9
20221023,114.7
20221024,86.5
20221025,91.9
20221026,94.2
20221027,97.7
20221028,104.8
20221029,138.8
20221030,121.5
20221031,97.7
20221101,87.1
20221102,92.1
20221103,90.1
20221104,101.5
20221105,133.6
20221106,113.3
20221107,74.5
20221108,86.1
