순위,관광지명,주소,분류,
1,롯데마트/진해점,경남 창원시 진해구 진해대로 762-0,쇼핑,경상남도 창원시 진해구
2,진해해양공원,경남 창원시 진해구 명동로 62-0,자연관광지,경상남도 창원시 진해구
3,진해루,경남 창원시 진해구 진희로 146-0,기타관광지,경상남도 창원시 진해구
4,홈플러스/진해점,경남 창원시 진해구 충장로 356-0,쇼핑,경상남도 창원시 진해구
5,용원어시장,경남 창원시 진해구 용원동로 0-0,쇼핑,경상남도 창원시 진해구
6,진해루해변공원,경남 창원시 진해구 진희로 150-0,자연관광지,경상남도 창원시 진해구
7,탑마트/진해점,경남 창원시 진해구 충장로523번길 7-0,쇼핑,경상남도 창원시 진해구
8,진해중앙시장,경남 창원시 진해구,쇼핑,경상남도 창원시 진해구
9,로망스다리,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
10,진해보타닉뮤지엄,경남 창원시 진해구 진해대로1137번길 89-0,휴양관광지,경상남도 창원시 진해구
11,여좌천,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
12,진해내수면환경생태공원,경남 창원시 진해구 여명로71번길 65-0,자연관광지,경상남도 창원시 진해구
13,안민고개,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
14,안민고개벚꽃길,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
15,다이소/진해장천점,경남 창원시 진해구 충장로 666-0,쇼핑,경상남도 창원시 진해구
16,경화역벚꽃길,경남 창원시 진해구 진해대로 0-0,휴양관광지,경상남도 창원시 진해구
17,하나로마트/진해농협석동지점,경남 창원시 진해구 진해대로776번길 28-0,쇼핑,경상남도 창원시 진해구
18,진해드림파크/목재문화체험장,경남 창원시 진해구 천자로 507-0,기타관광지,경상남도 창원시 진해구
19,진해중원로터리벚꽃거리,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
20,창원식자재마트/신항점,경남 창원시 진해구 신항동로 32-0,쇼핑,경상남도 창원시 진해구
21,속천항,경남 창원시 진해구 속천로 0-0,자연관광지,경상남도 창원시 진해구
22,우리마트/용원점,경남 창원시 진해구 용재로 40-0,쇼핑,경상남도 창원시 진해구
23,창원솔라타워,경남 창원시 진해구 명동로 62-0,기타관광지,경상남도 창원시 진해구
24,경화시장,경남 창원시 진해구,쇼핑,경상남도 창원시 진해구
25,진해공설운동장,경남 창원시 진해구 충무로 43-0,기타관광지,경상남도 창원시 진해구
26,지마트/신항점,경남 창원시 진해구 신항동로 121-0,쇼핑,경상남도 창원시 진해구
27,진해해양공원,경남 창원시 진해구 명동로 62-0,문화관광,경상남도 창원시 진해구
28,행암철길마을,경남 창원시 진해구,기타관광지,경상남도 창원시 진해구
29,아라미르CC,경남 창원시 진해구 수제로 26-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
30,삼성전자서비스/진해휴대폰센터,경남 창원시 진해구,쇼핑,경상남도 창원시 진해구
31,롯데시네마/진해,경남 창원시 진해구 진해대로 752-0,공연/행사,경상남도 창원시 진해구
32,용원골프클럽,경남 창원시 진해구 가주로 133-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
33,진해루,경남 창원시 진해구 진희로 146-0,문화관광,경상남도 창원시 진해구
34,진해드림파크,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
35,소죽도공원,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
36,제황산공원,경남 창원시 진해구 중원동로 52-0,자연관광지,경상남도 창원시 진해구
37,노브랜드/진해자은점,경남 창원시 진해구 장복대로 171-0,쇼핑,경상남도 창원시 진해구
38,GS더프레시/진해자은점,경남 창원시 진해구 덕산로61번길 31-0,쇼핑,경상남도 창원시 진해구
39,정우마트/용원점,경남 창원시 진해구 용원동로 261-0,쇼핑,경상남도 창원시 진해구
40,다이소/진해용원점,경남 창원시 진해구 용원서로31번길 15-0,쇼핑,경상남도 창원시 진해구
41,진해벚꽃공원,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
42,흰돌메공원,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
43,명동방파제,경남 창원시 진해구,자연관광지,경상남도 창원시 진해구
44,장복산조각공원,경남 창원시 진해구 장복산길 56-42,자연관광지,경상남도 창원시 진해구
45,다이소/진해중앙점,경남 창원시 진해구 충장로130번길 6-0,쇼핑,경상남도 창원시 진해구
46,진해항/제1부두,경남 창원시 진해구 행암로 100-0,자연관광지,경상남도 창원시 진해구
47,신항만골프랜드,경남 창원시 진해구 남영로592번길 11-0,레포츠(육상/해상/항공),경상남도 창원시 진해구
48,노브랜드/진해용원점,경남 창원시 진해구 용원로 21-0,쇼핑,경상남도 창원시 진해구
49,주남낚시,경남 창원시 진해구 진해대로 992-0,쇼핑,경상남도 창원시 진해구
50,다이소/진해신항점,경남 창원시 진해구 신항동로 121-0,쇼핑,경상남도 창원시 진해구
51,창원편백치유의숲,경남 창원시 진해구 장복산길 47-0,기타관광지,경상남도 창원시 진해구
52,노브랜드/진해풍호점,경남 창원시 진해구 천자로 377-1,쇼핑,경상남도 창원시 진해구
53,진해보타닉뮤지엄,경남 창원시 진해구 진해대로1137번길 89-0,문화관광,경상남도 창원시 진해구
54,장복산공원,경남 창원시 진해구 장복산길 56-42,자연관광지,경상남도 창원시 진해구
