광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.7,24.1
강원도,춘천시,1.7,16.2
강원도,강릉시,1.7,15.3
강원도,삼척시,1.7,2.9
강원도,양양군,1.7,3.3
강원도,동해시,1.7,4.5
강원도,홍천군,1.7,3.6
강원도,속초시,1.7,6.0
강원도,철원군,1.7,2.3
강원도,고성군,1.7,2.4
강원도,인제군,1.7,2.6
강원도,횡성군,1.7,2.8
강원도,태백시,1.7,4.4
강원도,평창군,1.7,2.3
강원도,화천군,1.7,1.5
강원도,영월군,1.7,2.1
강원도,양구군,1.7,0.9
강원도,정선군,1.7,2.9
경기도,성남시 분당구,16.3,5.7
경기도,화성시,16.3,6.4
경기도,부천시,16.3,4.8
경기도,용인시 기흥구,16.3,4.7
경기도,남양주시,16.3,5.2
경기도,용인시 수지구,16.3,3.7
경기도,평택시,16.3,4.1
경기도,하남시,16.3,2.6
경기도,광주시,16.3,3.1
경기도,수원시 영통구,16.3,3.2
경기도,고양시 덕양구,16.3,3.2
경기도,안양시 동안구,16.3,2.6
경기도,김포시,16.3,3.3
경기도,시흥시,16.3,2.3
경기도,의정부시,16.3,2.8
경기도,안산시 단원구,16.3,1.9
경기도,용인시 처인구,16.3,2.4
경기도,수원시 권선구,16.3,2.6
경기도,군포시,16.3,2.1
경기도,성남시 수정구,16.3,1.7
경기도,파주시,16.3,2.4
경기도,광명시,16.3,1.7
경기도,고양시 일산서구,16.3,1.9
경기도,고양시 일산동구,16.3,2.5
경기도,안산시 상록구,16.3,1.6
경기도,수원시 팔달구,16.3,1.4
경기도,이천시,16.3,1.9
경기도,수원시 장안구,16.3,2.0
경기도,안양시 만안구,16.3,1.4
경기도,성남시 중원구,16.3,1.4
경기도,구리시,16.3,1.8
경기도,의왕시,16.3,1.2
경기도,양주시,16.3,1.5
경기도,오산시,16.3,1.5
경기도,안성시,16.3,1.9
경기도,과천시,16.3,1.0
경기도,양평군,16.3,1.3
경기도,포천시,16.3,1.0
경기도,여주시,16.3,1.1
경기도,동두천시,16.3,0.5
경기도,가평군,16.3,0.5
경기도,연천군,16.3,0.3
경상남도,거제시,19.1,23.0
경상남도,진주시,19.1,12.2
경상남도,김해시,19.1,10.6
경상남도,창원시 성산구,19.1,7.6
경상남도,양산시,19.1,5.0
경상남도,창원시 의창구,19.1,6.4
경상남도,창원시 마산회원구,19.1,5.9
경상남도,창원시 마산합포구,19.1,6.0
경상남도,창원시 진해구,19.1,3.6
경상남도,고성군,19.1,3.4
경상남도,사천시,19.1,3.2
경상남도,함안군,19.1,2.0
경상남도,밀양시,19.1,1.9
경상남도,함양군,19.1,1.3
경상남도,창녕군,19.1,1.0
경상남도,거창군,19.1,1.7
경상남도,하동군,19.1,0.7
경상남도,산청군,19.1,0.8
경상남도,남해군,19.1,0.9
경상남도,합천군,19.1,1.1
경상남도,의령군,19.1,0.7
경상남도,통영시,19.1,1.0
경상북도,구미시,5.6,14.5
경상북도,경산시,5.6,12.9
경상북도,포항시 북구,5.6,9.2
경상북도,경주시,5.6,11.1
경상북도,김천시,5.6,7.4
경상북도,칠곡군,5.6,4.3
경상북도,포항시 남구,5.6,6.8
경상북도,안동시,5.6,5.9
경상북도,영천시,5.6,2.7
경상북도,예천군,5.6,2.2
경상북도,청도군,5.6,2.0
경상북도,상주시,5.6,3.6
경상북도,영주시,5.6,3.4
경상북도,성주군,5.6,1.9
경상북도,문경시,5.6,1.7
경상북도,울진군,5.6,1.5
경상북도,고령군,5.6,1.8
경상북도,군위군,5.6,0.9
경상북도,의성군,5.6,1.9
경상북도,울릉군,5.6,0.4
경상북도,영덕군,5.6,1.0
경상북도,봉화군,5.6,0.7
경상북도,청송군,5.6,1.6
경상북도,영양군,5.6,0.5
광주광역시,북구,3.2,29.1
광주광역시,서구,3.2,21.4
광주광역시,광산구,3.2,25.8
광주광역시,남구,3.2,14.5
광주광역시,동구,3.2,9.2
대구광역시,달서구,6.6,23.8
대구광역시,수성구,6.6,19.6
대구광역시,북구,6.6,17.7
대구광역시,달성군,6.6,11.9
대구광역시,동구,6.6,13.2
대구광역시,남구,6.6,6.0
대구광역시,서구,6.6,4.7
대구광역시,중구,6.6,3.1
대전광역시,유성구,4.3,27.2
대전광역시,서구,4.3,33.3
대전광역시,중구,4.3,16.7
대전광역시,대덕구,4.3,9.6
대전광역시,동구,4.3,13.2
부산광역시,해운대구,10.5,12.4
부산광역시,부산진구,10.5,10.6
부산광역시,동래구,10.5,9.1
부산광역시,남구,10.5,8.3
부산광역시,사하구,10.5,8.5
부산광역시,연제구,10.5,6.5
부산광역시,금정구,10.5,7.2
부산광역시,북구,10.5,8.1
부산광역시,강서구,10.5,5.1
부산광역시,수영구,10.5,5.3
부산광역시,사상구,10.5,5.6
부산광역시,기장군,10.5,3.7
부산광역시,서구,10.5,2.8
부산광역시,영도구,10.5,3.1
부산광역시,동구,10.5,2.2
부산광역시,중구,10.5,1.3
서울특별시,송파구,12.2,8.4
서울특별시,강동구,12.2,5.3
서울특별시,강남구,12.2,7.4
서울특별시,마포구,12.2,4.7
서울특별시,서초구,12.2,5.9
서울특별시,노원구,12.2,5.0
서울특별시,관악구,12.2,5.0
서울특별시,성북구,12.2,4.4
서울특별시,강서구,12.2,5.0
서울특별시,영등포구,12.2,4.4
서울특별시,동작구,12.2,4.2
서울특별시,서대문구,12.2,3.5
서울특별시,동대문구,12.2,3.1
서울특별시,구로구,12.2,3.3
서울특별시,광진구,12.2,3.7
서울특별시,은평구,12.2,4.3
서울특별시,도봉구,12.2,2.5
서울특별시,강북구,12.2,2.3
서울특별시,성동구,12.2,3.2
서울특별시,중랑구,12.2,3.2
서울특별시,용산구,12.2,2.8
서울특별시,양천구,12.2,3.4
서울특별시,중구,12.2,1.4
서울특별시,종로구,12.2,1.9
서울특별시,금천구,12.2,1.7
세종특별자치시,세종특별자치시,0.9,100.0
울산광역시,남구,2.8,31.9
울산광역시,중구,2.8,16.8
울산광역시,울주군,2.8,21.5
울산광역시,북구,2.8,17.7
울산광역시,동구,2.8,12.0
인천광역시,서구,2.5,19.9
인천광역시,연수구,2.5,16.5
인천광역시,남동구,2.5,16.2
인천광역시,부평구,2.5,15.1
인천광역시,미추홀구,2.5,11.9
인천광역시,중구,2.5,7.4
인천광역시,계양구,2.5,8.2
인천광역시,강화군,2.5,2.7
인천광역시,동구,2.5,1.2
인천광역시,옹진군,2.5,1.0
전라남도,여수시,3.1,17.3
전라남도,순천시,3.1,18.6
전라남도,나주시,3.1,7.5
전라남도,목포시,3.1,9.7
전라남도,광양시,3.1,9.4
전라남도,영광군,3.1,2.6
전라남도,영암군,3.1,2.7
전라남도,무안군,3.1,4.6
전라남도,고흥군,3.1,1.9
전라남도,화순군,3.1,4.1
전라남도,장성군,3.1,2.5
전라남도,담양군,3.1,2.5
전라남도,장흥군,3.1,2.2
전라남도,완도군,3.1,1.7
전라남도,강진군,3.1,1.6
전라남도,해남군,3.1,2.6
전라남도,구례군,3.1,1.8
전라남도,곡성군,3.1,2.5
전라남도,보성군,3.1,1.7
전라남도,진도군,3.1,0.7
전라남도,신안군,3.1,1.0
전라남도,함평군,3.1,0.9
전라북도,전주시 완산구,3.9,21.7
전라북도,전주시 덕진구,3.9,19.9
전라북도,익산시,3.9,14.4
전라북도,군산시,3.9,11.8
전라북도,완주군,3.9,5.2
전라북도,정읍시,3.9,3.8
전라북도,무주군,3.9,3.5
전라북도,남원시,3.9,6.4
전라북도,고창군,3.9,2.2
전라북도,김제시,3.9,3.3
전라북도,부안군,3.9,1.7
전라북도,진안군,3.9,1.7
전라북도,장수군,3.9,1.9
전라북도,임실군,3.9,1.3
전라북도,순창군,3.9,1.3
제주특별자치도,서귀포시,0.8,33.9
제주특별자치도,제주시,0.8,66.1
충청남도,천안시 서북구,3.4,13.5
충청남도,천안시 동남구,3.4,11.9
충청남도,아산시,3.4,12.4
충청남도,계룡시,3.4,4.3
충청남도,당진시,3.4,6.9
