기준연월,방문비율
20220811,63.3
20220812,70.7
20220813,104.0
20220814,88.2
20220815,76.4
20220816,58.6
20220817,57.5
20220818,51.6
20220819,61.9
20220820,101.8
20220821,80.6
20220822,61.5
20220823,54.3
20220824,54.3
20220825,50.7
20220826,63.2
20220827,114.7
20220828,104.1
20220829,74.2
20220830,63.8
20220831,59.9
20220901,43.0
20220902,51.6
20220903,101.3
20220904,87.3
20220905,49.3
20220906,40.1
20220907,45.7
20220908,50.2
20220909,109.2
20220910,130.2
20220911,113.8
20220912,77.3
20220913,45.3
20220914,40.8
20220915,45.0
20220916,60.5
20220917,126.6
20220918,111.6
20220919,62.0
20220920,56.3
20220921,52.0
20220922,52.5
20220923,68.4
20220924,104.3
20220925,95.7
20220926,60.4
20220927,56.1
20220928,56.6
20220929,56.4
20220930,66.9
20221001,108.7
20221002,105.9
20221003,81.6
20221004,48.7
20221005,50.9
20221006,49.9
20221007,66.2
20221008,121.7
20221009,120.3
20221010,76.0
20221011,48.1
20221012,48.4
20221013,44.5
20221014,56.6
20221015,118.2
20221016,121.3
20221017,52.0
20221018,50.9
20221019,52.8
20221020,50.7
20221021,63.3
20221022,113.5
20221023,105.4
20221024,57.7
20221025,50.5
20221026,51.1
20221027,54.7
20221028,59.4
20221029,119.2
20221030,114.2
20221031,52.3
20221101,50.4
20221102,47.0
20221103,55.1
20221104,63.3
20221105,121.8
20221106,109.4
20221107,54.6
20221108,47.7
