기준연월,방문비율
20220811,135.9
20220812,142.9
20220813,184.7
20220814,205.6
20220815,240.4
20220816,115.0
20220817,139.4
20220818,142.9
20220819,156.8
20220820,216.0
20220821,212.5
20220822,128.9
20220823,104.5
20220824,156.8
20220825,174.2
20220826,167.2
20220827,243.9
20220828,233.4
20220829,135.9
20220830,128.9
20220831,153.3
20220901,132.4
20220902,139.4
20220903,219.5
20220904,243.9
20220905,122.0
20220906,108.0
20220907,122.0
20220908,111.5
20220909,271.8
20220910,338.0
20220911,379.8
20220912,306.6
20220913,125.4
20220914,128.9
20220915,122.0
20220916,146.3
20220917,250.9
20220918,271.8
20220919,132.4
20220920,115.0
20220921,139.4
20220922,149.8
20220923,146.3
20220924,264.8
20220925,282.2
20220926,104.5
20220927,108.0
20220928,132.4
20220929,135.9
20220930,139.4
20221001,236.9
20221002,261.3
20221003,216.0
20221004,83.6
20221005,122.0
20221006,118.5
20221007,125.4
20221008,219.5
20221009,317.1
20221010,254.4
20221011,125.4
20221012,149.8
20221013,128.9
20221014,128.9
20221015,230.0
20221016,261.3
20221017,111.5
20221018,97.6
20221019,132.4
20221020,128.9
20221021,139.4
20221022,236.9
20221023,254.4
20221024,118.5
20221025,104.5
20221026,108.0
20221027,128.9
20221028,135.9
20221029,240.4
20221030,254.4
20221031,111.5
20221101,94.1
20221102,108.0
20221103,97.6
20221104,104.5
20221105,247.4
20221106,254.4
20221107,97.6
20221108,87.1
