광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,정선군,0.3,3.5
강원도,원주시,0.3,34.8
강원도,춘천시,0.3,10.0
강원도,속초시,0.3,8.2
강원도,강릉시,0.3,20.0
강원도,평창군,0.3,1.8
강원도,양구군,0.3,2.9
강원도,철원군,0.3,0.6
강원도,양양군,0.3,1.8
강원도,영월군,0.3,1.2
강원도,동해시,0.3,5.3
강원도,삼척시,0.3,1.8
강원도,홍천군,0.3,2.9
강원도,횡성군,0.3,2.3
강원도,화천군,0.3,0.6
강원도,고성군,0.3,0.6
강원도,인제군,0.3,0.6
강원도,태백시,0.3,1.2
경기도,용인시 기흥구,3.9,5.0
경기도,김포시,3.9,2.0
경기도,성남시 분당구,3.9,5.9
경기도,광주시,3.9,2.8
경기도,용인시 수지구,3.9,4.2
경기도,포천시,3.9,1.0
경기도,광명시,3.9,2.3
경기도,수원시 권선구,3.9,3.7
경기도,여주시,3.9,1.1
경기도,성남시 수정구,3.9,1.5
경기도,고양시 덕양구,3.9,3.0
경기도,남양주시,3.9,6.8
경기도,화성시,3.9,7.4
경기도,시흥시,3.9,2.4
경기도,고양시 일산동구,3.9,2.3
경기도,수원시 장안구,3.9,2.4
경기도,안양시 동안구,3.9,2.9
경기도,안양시 만안구,3.9,1.8
경기도,수원시 팔달구,3.9,1.3
경기도,부천시,3.9,4.0
경기도,오산시,3.9,1.2
경기도,수원시 영통구,3.9,2.6
경기도,군포시,3.9,2.0
경기도,이천시,3.9,1.9
경기도,용인시 처인구,3.9,2.3
경기도,안산시 단원구,3.9,1.4
경기도,의왕시,3.9,2.3
경기도,파주시,3.9,3.0
경기도,과천시,3.9,0.6
경기도,하남시,3.9,3.2
경기도,평택시,3.9,4.2
경기도,양평군,3.9,1.3
경기도,고양시 일산서구,3.9,1.6
경기도,양주시,3.9,0.9
경기도,안산시 상록구,3.9,2.2
경기도,성남시 중원구,3.9,1.0
경기도,의정부시,3.9,1.6
경기도,안성시,3.9,1.1
경기도,연천군,3.9,0.2
경기도,구리시,3.9,1.3
경기도,동두천시,3.9,0.4
경기도,가평군,3.9,0.2
경상남도,진주시,16.7,16.4
