기준연월,방문비율
20220811,76.0
20220812,95.6
20220813,111.4
20220814,109.2
20220815,100.3
20220816,97.7
20220817,92.7
20220818,103.2
20220819,109.5
20220820,124.6
20220821,124.4
20220822,115.4
20220823,102.5
20220824,111.5
20220825,111.4
20220826,118.9
20220827,136.4
20220828,138.1
20220829,124.1
20220830,127.7
20220831,122.6
20220901,120.8
20220902,128.3
20220903,126.4
20220904,128.4
20220905,134.9
20220906,142.8
20220907,142.2
20220908,138.4
20220909,110.4
20220910,113.8
20220911,116.1
20220912,106.8
20220913,140.8
20220914,136.5
20220915,137.5
20220916,130.5
20220917,127.8
20220918,134.1
20220919,140.7
20220920,139.4
20220921,144.2
20220922,143.4
20220923,131.4
20220924,128.4
20220925,138.7
20220926,138.2
20220927,148.8
20220928,156.7
20220929,153.9
20220930,152.7
20221001,104.4
20221002,109.8
20221003,99.7
20221004,104.9
20221005,94.7
20221006,101.6
20221007,105.4
20221008,108.6
20221009,96.9
20221010,89.9
20221011,98.1
20221012,89.8
20221013,96.1
20221014,92.7
20221015,108.9
20221016,100.7
20221017,101.3
20221018,106.9
20221019,123.1
20221020,115.1
20221021,117.2
20221022,114.6
20221023,105.6
20221024,97.6
20221025,111.5
20221026,113.8
20221027,116.7
20221028,124.9
20221029,127.0
20221030,116.1
20221031,125.3
20221101,109.5
20221102,113.5
20221103,114.7
20221104,118.8
20221105,118.3
20221106,107.4
20221107,113.8
20221108,112.4
