광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,2.3,24.2
강원도,춘천시,2.3,17.4
강원도,강릉시,2.3,16.6
강원도,속초시,2.3,5.6
강원도,삼척시,2.3,4.4
강원도,홍천군,2.3,3.2
강원도,동해시,2.3,6.8
강원도,태백시,2.3,4.3
강원도,양양군,2.3,2.6
강원도,화천군,2.3,1.0
강원도,영월군,2.3,1.9
강원도,인제군,2.3,1.6
강원도,철원군,2.3,1.5
강원도,횡성군,2.3,2.5
강원도,고성군,2.3,1.4
강원도,정선군,2.3,1.6
강원도,평창군,2.3,2.4
강원도,양구군,2.3,0.9
경기도,화성시,18.5,6.7
경기도,성남시 분당구,18.5,5.7
경기도,부천시,18.5,5.2
경기도,남양주시,18.5,5.3
경기도,광주시,18.5,3.1
경기도,용인시 기흥구,18.5,4.2
경기도,의정부시,18.5,2.8
경기도,평택시,18.5,3.7
경기도,용인시 수지구,18.5,3.7
경기도,고양시 덕양구,18.5,3.3
경기도,수원시 영통구,18.5,3.2
경기도,김포시,18.5,3.5
경기도,안양시 동안구,18.5,2.8
경기도,하남시,18.5,2.8
경기도,수원시 권선구,18.5,2.8
경기도,용인시 처인구,18.5,2.0
경기도,시흥시,18.5,2.5
경기도,고양시 일산서구,18.5,2.1
경기도,성남시 수정구,18.5,2.0
경기도,군포시,18.5,2.1
경기도,수원시 장안구,18.5,2.1
경기도,파주시,18.5,2.4
경기도,안산시 상록구,18.5,1.8
경기도,광명시,18.5,2.0
경기도,수원시 팔달구,18.5,1.4
경기도,고양시 일산동구,18.5,2.3
경기도,성남시 중원구,18.5,1.4
경기도,안산시 단원구,18.5,1.9
경기도,안양시 만안구,18.5,1.7
경기도,구리시,18.5,1.7
경기도,이천시,18.5,1.6
경기도,오산시,18.5,1.6
경기도,양주시,18.5,1.3
경기도,안성시,18.5,1.1
경기도,의왕시,18.5,1.4
경기도,여주시,18.5,0.9
경기도,포천시,18.5,0.9
경기도,양평군,18.5,1.1
경기도,과천시,18.5,0.9
경기도,가평군,18.5,0.4
경기도,동두천시,18.5,0.4
경기도,연천군,18.5,0.2
경상남도,김해시,7.3,18.1
경상남도,양산시,7.3,16.4
경상남도,창원시 성산구,7.3,9.1
경상남도,진주시,7.3,7.1
경상남도,거제시,7.3,9.3
경상남도,창원시 진해구,7.3,4.8
경상남도,창원시 마산회원구,7.3,6.1
경상남도,창원시 마산합포구,7.3,5.4
경상남도,창원시 의창구,7.3,7.0
경상남도,밀양시,7.3,3.4
경상남도,통영시,7.3,2.4
경상남도,창녕군,7.3,1.2
경상남도,사천시,7.3,1.8
경상남도,함안군,7.3,1.6
경상남도,합천군,7.3,0.8
경상남도,거창군,7.3,1.6
경상남도,고성군,7.3,1.1
경상남도,산청군,7.3,0.4
경상남도,의령군,7.3,0.7
경상남도,하동군,7.3,0.5
경상남도,함양군,7.3,0.5
경상남도,남해군,7.3,0.8
경상북도,포항시 북구,9.2,25.5
경상북도,포항시 남구,9.2,22.3
경상북도,경산시,9.2,12.3
경상북도,구미시,9.2,8.5
경상북도,김천시,9.2,3.1
경상북도,영천시,9.2,4.3
경상북도,안동시,9.2,4.3
경상북도,칠곡군,9.2,2.4
경상북도,상주시,9.2,1.9
경상북도,영주시,9.2,2.0
경상북도,영덕군,9.2,1.2
경상북도,성주군,9.2,0.8
경상북도,청도군,9.2,1.0
경상북도,의성군,9.2,0.9
경상북도,문경시,9.2,1.1
경상북도,청송군,9.2,0.7
경상북도,울진군,9.2,1.7
경상북도,예천군,9.2,1.4
경상북도,고령군,9.2,0.5
경상북도,봉화군,9.2,0.4
경상북도,영양군,9.2,0.4
경상북도,울릉군,9.2,0.3
경상북도,군위군,9.2,0.4
경상북도,경주시,9.2,2.6
광주광역시,북구,2.0,29.3
광주광역시,서구,2.0,20.3
광주광역시,광산구,2.0,27.7
광주광역시,남구,2.0,15.0
광주광역시,동구,2.0,7.7
대구광역시,달서구,7.7,20.5
대구광역시,수성구,7.7,22.3
대구광역시,북구,7.7,18.5
대구광역시,동구,7.7,16.3
대구광역시,달성군,7.7,9.7
대구광역시,남구,7.7,5.0
대구광역시,서구,7.7,4.2
대구광역시,중구,7.7,3.4
대전광역시,서구,2.6,32.0
대전광역시,유성구,2.6,30.3
대전광역시,중구,2.6,14.7
대전광역시,동구,2.6,12.8
대전광역시,대덕구,2.6,10.3
부산광역시,해운대구,11.6,15.3
부산광역시,부산진구,11.6,9.5
부산광역시,동래구,11.6,8.8
부산광역시,남구,11.6,8.2
부산광역시,금정구,11.6,8.1
부산광역시,사하구,11.6,7.1
부산광역시,북구,11.6,7.9
부산광역시,기장군,11.6,6.3
부산광역시,수영구,11.6,5.8
부산광역시,연제구,11.6,6.3
부산광역시,사상구,11.6,4.9
부산광역시,강서구,11.6,3.7
부산광역시,영도구,11.6,2.5
부산광역시,서구,11.6,2.3
부산광역시,동구,11.6,1.9
부산광역시,중구,11.6,1.4
서울특별시,송파구,14.4,9.1
서울특별시,강남구,14.4,6.9
서울특별시,강동구,14.4,5.8
서울특별시,노원구,14.4,5.2
서울특별시,강서구,14.4,5.1
서울특별시,서초구,14.4,5.2
서울특별시,성북구,14.4,4.4
서울특별시,관악구,14.4,4.8
서울특별시,동작구,14.4,4.3
서울특별시,마포구,14.4,4.6
서울특별시,양천구,14.4,3.9
서울특별시,광진구,14.4,4.0
서울특별시,영등포구,14.4,4.0
서울특별시,서대문구,14.4,3.6
서울특별시,중랑구,14.4,3.2
