광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.6,21.5
강원도,춘천시,1.6,14.7
강원도,강릉시,1.6,18.9
강원도,동해시,1.6,10.2
강원도,속초시,1.6,4.9
강원도,삼척시,1.6,5.9
강원도,평창군,1.6,2.4
강원도,태백시,1.6,4.2
강원도,인제군,1.6,1.6
강원도,횡성군,1.6,1.5
강원도,홍천군,1.6,3.2
강원도,영월군,1.6,1.6
강원도,양양군,1.6,1.6
강원도,화천군,1.6,1.2
강원도,양구군,1.6,1.0
강원도,고성군,1.6,1.4
강원도,철원군,1.6,1.4
강원도,정선군,1.6,2.6
경기도,화성시,12.6,7.7
경기도,성남시 분당구,12.6,7.3
경기도,부천시,12.6,4.7
경기도,남양주시,12.6,4.6
경기도,용인시 수지구,12.6,4.6
경기도,용인시 기흥구,12.6,4.8
경기도,평택시,12.6,3.8
경기도,광주시,12.6,2.9
경기도,수원시 영통구,12.6,3.8
경기도,김포시,12.6,3.3
경기도,안양시 동안구,12.6,3.0
경기도,수원시 권선구,12.6,2.9
경기도,의정부시,12.6,2.5
경기도,고양시 덕양구,12.6,3.1
경기도,하남시,12.6,2.9
경기도,고양시 일산동구,12.6,2.4
경기도,안산시 단원구,12.6,1.9
경기도,시흥시,12.6,2.4
경기도,고양시 일산서구,12.6,2.0
경기도,광명시,12.6,1.8
경기도,수원시 장안구,12.6,2.0
경기도,구리시,12.6,1.6
경기도,군포시,12.6,1.8
경기도,파주시,12.6,2.1
경기도,오산시,12.6,1.4
경기도,안산시 상록구,12.6,1.6
경기도,성남시 수정구,12.6,1.9
경기도,용인시 처인구,12.6,1.8
경기도,수원시 팔달구,12.6,1.4
경기도,이천시,12.6,1.5
경기도,안양시 만안구,12.6,1.4
경기도,성남시 중원구,12.6,1.2
경기도,의왕시,12.6,1.4
경기도,양주시,12.6,1.2
경기도,안성시,12.6,1.2
경기도,과천시,12.6,1.0
경기도,포천시,12.6,0.8
경기도,양평군,12.6,0.8
경기도,여주시,12.6,0.6
경기도,동두천시,12.6,0.3
경기도,가평군,12.6,0.4
경기도,연천군,12.6,0.2
경상남도,김해시,8.6,19.7
경상남도,양산시,8.6,17.8
경상남도,창원시 성산구,8.6,10.0
경상남도,진주시,8.6,6.8
