기준연월,방문비율
20220811,96.3
20220812,123.3
20220813,156.8
20220814,164.3
20220815,103.9
20220816,130.6
20220817,111.1
20220818,112.1
20220819,129.0
20220820,154.0
20220821,156.5
20220822,114.8
20220823,126.6
20220824,119.2
20220825,134.1
20220826,152.4
20220827,181.4
20220828,180.7
20220829,128.8
20220830,145.9
20220831,139.0
20220901,109.7
20220902,129.4
20220903,158.4
20220904,164.2
20220905,91.8
20220906,100.5
20220907,102.5
20220908,104.0
20220909,231.1
20220910,218.6
20220911,216.6
20220912,203.5
20220913,110.3
20220914,104.9
20220915,108.1
20220916,126.7
20220917,165.8
20220918,167.9
20220919,98.8
20220920,118.6
20220921,109.8
20220922,116.2
20220923,132.8
20220924,170.0
20220925,163.9
20220926,113.0
20220927,124.4
20220928,123.1
20220929,122.6
20220930,140.1
20221001,167.1
20221002,168.4
20221003,131.1
20221004,100.4
20221005,101.6
20221006,106.7
20221007,127.8
20221008,167.1
20221009,171.5
20221010,123.7
20221011,100.6
20221012,99.8
20221013,105.7
20221014,125.6
20221015,161.4
20221016,162.0
20221017,96.4
20221018,109.0
20221019,106.7
20221020,111.0
20221021,130.8
20221022,164.4
20221023,174.9
20221024,102.2
20221025,118.6
20221026,120.2
20221027,122.2
20221028,136.7
20221029,174.3
20221030,170.7
20221031,109.6
20221101,94.0
20221102,95.7
20221103,92.0
20221104,124.2
20221105,165.1
20221106,165.4
20221107,86.4
20221108,95.3
