기준연월,방문비율
20220811,116.9
20220812,129.8
20220813,273.6
20220814,310.1
20220815,233.8
20220816,94.6
20220817,94.8
20220818,105.9
20220819,120.0
20220820,293.9
20220821,285.7
20220822,104.1
20220823,108.7
20220824,101.5
20220825,98.7
20220826,146.7
20220827,342.5
20220828,344.3
20220829,120.2
20220830,126.4
20220831,119.7
20220901,125.4
20220902,165.2
20220903,283.7
20220904,289.6
20220905,84.0
20220906,85.6
20220907,81.7
20220908,82.2
20220909,404.9
20220910,461.2
20220911,436.0
20220912,325.8
20220913,68.1
20220914,71.4
20220915,75.3
20220916,99.7
20220917,278.5
20220918,282.6
20220919,72.7
20220920,94.6
20220921,82.2
20220922,93.5
20220923,107.7
20220924,268.2
20220925,325.8
20220926,102.3
20220927,99.2
20220928,91.5
20220929,105.6
20220930,139.8
20221001,323.7
20221002,359.5
20221003,339.9
20221004,83.5
20221005,79.1
20221006,84.3
20221007,114.1
20221008,315.3
20221009,431.7
20221010,323.7
20221011,88.4
20221012,72.2
20221013,71.4
20221014,101.2
20221015,285.2
20221016,288.5
20221017,70.1
20221018,82.2
20221019,75.0
20221020,87.6
20221021,104.8
20221022,279.5
20221023,304.2
20221024,107.9
20221025,106.9
20221026,105.6
20221027,119.0
20221028,147.2
20221029,336.1
20221030,376.9
20221031,135.4
20221101,116.1
20221102,101.7
20221103,74.3
20221104,109.5
20221105,284.7
20221106,308.1
20221107,90.2
20221108,84.0
