기준연월,방문비율
20220811,120.1
20220812,125.5
20220813,266.8
20220814,195.4
20220815,254.9
20220816,110.9
20220817,109.4
20220818,96.4
20220819,119.1
20220820,301.8
20220821,309.2
20220822,95.0
20220823,108.6
20220824,118.7
20220825,117.6
20220826,141.5
20220827,325.1
20220828,299.2
20220829,119.5
20220830,125.8
20220831,114.7
20220901,146.4
20220902,149.5
20220903,372.1
20220904,388.1
20220905,120.1
20220906,210.1
20220907,188.2
20220908,160.0
20220909,392.7
20220910,386.3
20220911,409.1
20220912,378.2
20220913,111.8
20220914,106.0
20220915,108.3
20220916,123.6
20220917,366.1
20220918,409.4
20220919,107.4
20220920,122.8
20220921,114.4
20220922,116.4
20220923,133.1
20220924,412.7
20220925,448.4
20220926,126.8
20220927,134.3
20220928,136.3
20220929,150.1
20220930,170.0
20221001,403.6
20221002,421.3
20221003,336.1
20221004,152.8
20221005,165.2
20221006,154.7
20221007,188.7
20221008,377.3
20221009,462.8
20221010,383.7
20221011,128.4
20221012,122.9
20221013,120.1
20221014,126.2
20221015,338.9
20221016,393.4
20221017,107.4
20221018,126.7
20221019,125.7
20221020,126.6
20221021,135.2
20221022,383.5
20221023,420.7
20221024,124.4
20221025,143.9
20221026,139.0
20221027,145.5
20221028,173.9
20221029,478.4
20221030,515.1
20221031,140.2
20221101,174.1
20221102,167.8
20221103,151.8
20221104,174.7
20221105,465.5
20221106,335.6
20221107,100.2
20221108,118.8
