기준연월,방문비율
20220811,115.8
20220812,169.1
20220813,320.4
20220814,278.1
20220815,217.2
20220816,121.7
20220817,109.0
20220818,145.4
20220819,199.5
20220820,357.6
20220821,230.8
20220822,133.6
20220823,125.1
20220824,130.2
20220825,144.5
20220826,193.6
20220827,347.4
20220828,254.4
20220829,132.7
20220830,158.1
20220831,139.5
20220901,141.2
20220902,193.6
20220903,299.2
20220904,201.2
20220905,120.9
20220906,113.3
20220907,108.2
20220908,131.0
20220909,280.6
20220910,313.6
20220911,269.7
20220912,291.6
20220913,141.2
20220914,140.3
20220915,145.4
20220916,195.3
20220917,315.3
20220918,268.8
20220919,164.0
20220920,153.0
20220921,126.8
20220922,146.2
20220923,191.0
20220924,310.2
20220925,243.4
20220926,145.4
20220927,144.5
20220928,120.0
20220929,141.2
20220930,206.3
20221001,219.8
20221002,134.4
20221003,138.6
20221004,83.7
20221005,68.5
20221006,104.8
20221007,147.9
20221008,200.3
20221009,171.6
20221010,142.0
20221011,62.6
20221012,46.5
20221013,74.4
20221014,127.6
20221015,203.7
20221016,140.3
20221017,79.5
20221018,71.9
20221019,56.6
20221020,81.1
20221021,129.3
20221022,191.9
20221023,127.6
20221024,79.5
20221025,82.0
20221026,65.9
20221027,94.7
20221028,141.2
20221029,199.5
20221030,177.5
20221031,94.7
20221101,74.4
20221102,67.6
20221103,97.2
20221104,155.5
20221105,199.5
20221106,125.1
20221107,81.1
20221108,64.2
