기준연월,방문비율
20220811,146.7
20220812,151.0
20220813,274.6
20220814,239.8
20220815,205.5
20220816,146.3
20220817,154.9
20220818,157.4
20220819,167.3
20220820,273.7
20220821,251.8
20220822,117.1
20220823,148.0
20220824,157.0
20220825,153.6
20220826,158.7
20220827,291.3
20220828,282.7
20220829,132.1
20220830,179.3
20220831,184.9
20220901,175.5
20220902,185.8
20220903,295.6
20220904,280.1
20220905,122.3
20220906,149.3
20220907,127.0
20220908,130.8
20220909,356.9
20220910,371.1
20220911,360.8
20220912,311.0
20220913,155.7
20220914,155.3
20220915,151.0
20220916,153.2
20220917,262.5
20220918,254.0
20220919,109.4
20220920,151.9
20220921,154.4
20220922,151.0
20220923,160.0
20220924,269.8
20220925,270.3
20220926,131.7
20220927,163.0
20220928,164.7
20220929,170.7
20220930,201.2
20221001,420.8
20221002,424.7
20221003,292.1
20221004,175.9
20221005,167.7
20221006,169.0
20221007,178.9
20221008,399.8
20221009,458.2
20221010,305.9
20221011,152.3
20221012,157.0
20221013,165.6
20221014,175.5
20221015,366.4
20221016,362.9
20221017,115.4
20221018,160.4
20221019,164.7
20221020,164.7
20221021,176.3
20221022,367.7
20221023,380.5
20221024,146.3
20221025,175.0
20221026,180.6
20221027,187.9
20221028,202.5
20221029,402.0
20221030,443.2
20221031,172.0
20221101,185.8
20221102,179.3
20221103,176.7
20221104,186.2
20221105,297.3
20221106,287.0
20221107,102.5
20221108,134.3
