기준연월,방문비율
20220811,203.3
20220812,203.3
20220813,197.8
20220814,181.3
20220815,219.8
20220816,197.8
20220817,197.8
20220818,197.8
20220819,197.8
20220820,186.8
20220821,159.3
20220822,181.3
20220823,236.3
20220824,274.7
20220825,219.8
20220826,219.8
20220827,214.3
20220828,192.3
20220829,164.8
20220830,219.8
20220831,219.8
20220901,225.3
20220902,225.3
20220903,208.8
20220904,181.3
20220905,153.8
20220906,208.8
20220907,208.8
20220908,203.3
20220909,280.2
20220910,274.7
20220911,252.7
20220912,225.3
20220913,203.3
20220914,197.8
20220915,197.8
20220916,197.8
20220917,192.3
20220918,170.3
20220919,142.9
20220920,186.8
20220921,186.8
20220922,236.3
20220923,236.3
20220924,269.2
20220925,192.3
20220926,164.8
20220927,219.8
20220928,219.8
20220929,219.8
20220930,219.8
20221001,241.8
20221002,214.3
20221003,252.7
20221004,230.8
20221005,230.8
20221006,230.8
20221007,230.8
20221008,219.8
20221009,269.2
20221010,247.3
20221011,225.3
20221012,225.3
20221013,225.3
20221014,219.8
20221015,214.3
20221016,192.3
20221017,164.8
20221018,219.8
20221019,219.8
20221020,208.8
20221021,208.8
20221022,252.7
20221023,225.3
20221024,236.3
20221025,241.8
20221026,241.8
20221027,241.8
20221028,241.8
20221029,236.3
20221030,208.8
20221031,181.3
20221101,247.3
20221102,247.3
20221103,230.8
20221104,230.8
20221105,225.3
20221106,203.3
20221107,175.8
20221108,225.3
