기준연월,방문비율
20220811,78.1
20220812,94.6
20220813,191.2
20220814,220.9
20220815,207.1
20220816,89.5
20220817,79.5
20220818,88.0
20220819,92.6
20220820,150.1
20220821,126.6
20220822,79.5
20220823,56.2
20220824,46.7
20220825,62.4
20220826,82.1
20220827,168.9
20220828,139.7
20220829,52.7
20220830,59.9
20220831,67.7
20220901,47.1
20220902,50.3
20220903,119.8
20220904,123.3
20220905,54.1
20220906,22.7
20220907,17.0
20220908,45.6
20220909,286.5
20220910,293.4
20220911,232.1
20220912,225.1
20220913,36.5
20220914,28.9
20220915,46.8
20220916,49.8
20220917,111.5
20220918,99.8
20220919,57.5
20220920,44.3
20220921,32.7
20220922,45.4
20220923,64.6
20220924,124.1
20220925,104.4
20220926,72.3
20220927,50.8
20220928,35.4
20220929,52.5
20220930,74.3
20221001,129.6
20221002,141.5
20221003,119.7
20221004,20.3
20221005,15.1
20221006,50.0
20221007,69.3
20221008,187.9
20221009,221.9
20221010,196.5
20221011,40.1
20221012,32.2
20221013,45.3
20221014,57.4
20221015,163.2
20221016,131.7
20221017,61.4
20221018,49.1
20221019,38.8
20221020,49.9
20221021,58.8
20221022,147.5
20221023,144.0
20221024,91.0
20221025,65.7
20221026,48.7
20221027,62.0
20221028,73.2
20221029,173.7
20221030,190.0
20221031,84.8
20221101,26.7
20221102,21.4
20221103,43.3
20221104,79.0
20221105,192.1
20221106,185.4
20221107,74.7
20221108,47.4
