기준연월,방문비율
20220811,74.0
20220812,77.5
20220813,108.7
20220814,156.1
20220815,163.8
20220816,79.9
20220817,73.5
20220818,81.4
20220819,80.2
20220820,124.4
20220821,144.8
20220822,78.2
20220823,76.7
20220824,74.5
20220825,80.4
20220826,78.7
20220827,124.2
20220828,145.8
20220829,80.9
20220830,81.9
20220831,81.6
20220901,91.5
20220902,97.9
20220903,132.3
20220904,156.1
20220905,86.3
20220906,85.1
20220907,73.8
20220908,77.7
20220909,226.0
20220910,218.1
20220911,234.1
20220912,219.1
20220913,120.7
20220914,92.9
20220915,85.3
20220916,101.8
20220917,141.9
20220918,161.3
20220919,91.2
20220920,91.0
20220921,80.2
20220922,79.9
20220923,91.2
20220924,162.8
20220925,179.5
20220926,107.7
20220927,89.5
20220928,78.7
20220929,85.6
20220930,100.3
20221001,142.9
20221002,167.0
20221003,166.7
20221004,81.9
20221005,78.7
20221006,83.4
20221007,81.9
20221008,132.8
20221009,196.0
20221010,159.8
20221011,80.9
20221012,75.0
20221013,99.8
20221014,84.1
20221015,135.5
20221016,156.9
20221017,76.2
20221018,79.7
20221019,76.7
20221020,81.1
20221021,80.4
20221022,140.2
20221023,159.3
20221024,85.6
20221025,81.6
20221026,77.0
20221027,82.6
20221028,82.6
20221029,135.7
20221030,169.4
20221031,87.5
20221101,91.0
20221102,78.2
20221103,78.4
20221104,78.7
20221105,136.2
20221106,158.6
20221107,76.0
20221108,76.7
