광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,2.2,27.6
강원도,삼척시,2.2,8.0
강원도,정선군,2.2,3.3
강원도,영월군,2.2,6.8
강원도,평창군,2.2,2.7
강원도,속초시,2.2,1.7
강원도,동해시,2.2,6.6
강원도,춘천시,2.2,11.7
강원도,강릉시,2.2,6.0
강원도,태백시,2.2,9.7
강원도,양구군,2.2,0.5
강원도,횡성군,2.2,5.3
강원도,홍천군,2.2,1.4
강원도,양양군,2.2,6.7
강원도,고성군,2.2,0.8
강원도,화천군,2.2,0.2
강원도,철원군,2.2,0.5
강원도,인제군,2.2,0.6
경기도,남양주시,12.4,8.4
경기도,부천시,12.4,5.7
경기도,성남시 중원구,12.4,2.4
경기도,고양시 일산서구,12.4,2.7
경기도,성남시 수정구,12.4,3.6
경기도,성남시 분당구,12.4,5.0
경기도,하남시,12.4,4.6
경기도,가평군,12.4,0.5
경기도,화성시,12.4,6.2
경기도,고양시 일산동구,12.4,3.1
경기도,용인시 기흥구,12.4,3.9
경기도,시흥시,12.4,2.2
경기도,양평군,12.4,0.8
경기도,파주시,12.4,4.0
경기도,고양시 덕양구,12.4,2.4
경기도,포천시,12.4,0.6
경기도,안양시 동안구,12.4,2.3
경기도,김포시,12.4,2.4
경기도,광주시,12.4,2.6
경기도,용인시 처인구,12.4,2.7
경기도,의왕시,12.4,1.2
경기도,수원시 장안구,12.4,1.0
경기도,평택시,12.4,3.5
경기도,의정부시,12.4,1.8
경기도,여주시,12.4,1.3
경기도,군포시,12.4,2.3
경기도,수원시 영통구,12.4,2.2
경기도,오산시,12.4,0.9
경기도,과천시,12.4,1.0
경기도,구리시,12.4,2.1
경기도,안산시 상록구,12.4,1.0
경기도,수원시 권선구,12.4,2.6
경기도,양주시,12.4,1.5
경기도,용인시 수지구,12.4,1.8
경기도,광명시,12.4,3.8
경기도,안성시,12.4,1.1
경기도,안양시 만안구,12.4,0.9
경기도,수원시 팔달구,12.4,0.6
경기도,안산시 단원구,12.4,1.8
경기도,연천군,12.4,0.4
경기도,이천시,12.4,1.0
경기도,동두천시,12.4,0.4
경상남도,거제시,2.0,15.8
경상남도,창원시 마산회원구,2.0,11.0
경상남도,진주시,2.0,4.9
경상남도,창원시 의창구,2.0,6.2
경상남도,창원시 성산구,2.0,4.9
경상남도,합천군,2.0,3.5
경상남도,창녕군,2.0,2.5
경상남도,김해시,2.0,11.3
경상남도,창원시 마산합포구,2.0,3.7
경상남도,창원시 진해구,2.0,2.5
경상남도,통영시,2.0,6.1
경상남도,의령군,2.0,1.0
경상남도,사천시,2.0,2.4
경상남도,양산시,2.0,5.4
경상남도,거창군,2.0,2.7
경상남도,밀양시,2.0,5.0
경상남도,남해군,2.0,0.2
경상남도,산청군,2.0,5.5
경상남도,함양군,2.0,0.7
경상남도,고성군,2.0,2.0
경상남도,하동군,2.0,0.8
경상남도,함안군,2.0,1.7
경상북도,영주시,53.5,59.2
경상북도,안동시,53.5,16.9
경상북도,문경시,53.5,3.8
경상북도,구미시,53.5,3.3
경상북도,상주시,53.5,3.6
경상북도,봉화군,53.5,2.8
경상북도,포항시 북구,53.5,0.9
경상북도,김천시,53.5,1.4
경상북도,의성군,53.5,1.4
경상북도,경산시,53.5,1.1
경상북도,경주시,53.5,1.0
경상북도,영천시,53.5,0.2
경상북도,영양군,53.5,0.3
경상북도,칠곡군,53.5,0.5
경상북도,포항시 남구,53.5,0.8
경상북도,영덕군,53.5,0.2
경상북도,성주군,53.5,0.3
경상북도,울진군,53.5,0.4
경상북도,청도군,53.5,0.1
경상북도,청송군,53.5,0.2
경상북도,고령군,53.5,0.1
경상북도,군위군,53.5,0.1
경상북도,예천군,53.5,1.3
광주광역시,북구,0.2,42.3
광주광역시,서구,0.2,13.5
광주광역시,광산구,0.2,30.7
광주광역시,남구,0.2,11.5
광주광역시,동구,0.2,1.9
대구광역시,달서구,8.3,20.1
대구광역시,북구,8.3,25.7
대구광역시,수성구,8.3,12.2
대구광역시,동구,8.3,16.5
대구광역시,달성군,8.3,5.5
대구광역시,남구,8.3,8.7
대구광역시,서구,8.3,5.5
대구광역시,중구,8.3,5.8
대전광역시,유성구,1.0,44.3
대전광역시,중구,1.0,17.6
대전광역시,동구,1.0,10.1
대전광역시,서구,1.0,20.5
대전광역시,대덕구,1.0,7.6
부산광역시,동래구,1.8,7.6
부산광역시,사상구,1.8,8.7
부산광역시,해운대구,1.8,12.3
부산광역시,연제구,1.8,9.4
부산광역시,금정구,1.8,8.3
부산광역시,기장군,1.8,5.7
부산광역시,부산진구,1.8,14.0
부산광역시,강서구,1.8,2.3
부산광역시,북구,1.8,11.2
부산광역시,남구,1.8,6.7
부산광역시,사하구,1.8,7.2
부산광역시,영도구,1.8,1.7
부산광역시,서구,1.8,1.3
부산광역시,중구,1.8,0.8
부산광역시,동구,1.8,0.8
부산광역시,수영구,1.8,2.1
서울특별시,송파구,9.5,11.0
서울특별시,서초구,9.5,3.7
서울특별시,강동구,9.5,8.4
서울특별시,광진구,9.5,5.3
서울특별시,중랑구,9.5,5.1
서울특별시,금천구,9.5,4.9
서울특별시,영등포구,9.5,4.8
서울특별시,강북구,9.5,2.6
서울특별시,은평구,9.5,3.0
서울특별시,용산구,9.5,2.6
서울특별시,관악구,9.5,3.7
서울특별시,양천구,9.5,2.5
서울특별시,성북구,9.5,3.5
서울특별시,구로구,9.5,4.2
서울특별시,동작구,9.5,3.0
서울특별시,도봉구,9.5,3.1
서울특별시,마포구,9.5,2.9
서울특별시,노원구,9.5,4.1
서울특별시,동대문구,9.5,3.8
서울특별시,중구,9.5,0.9
서울특별시,성동구,9.5,3.6
서울특별시,서대문구,9.5,2.7
서울특별시,강서구,9.5,4.8
서울특별시,종로구,9.5,1.0
서울특별시,강남구,9.5,4.8
세종특별자치시,세종특별자치시,0.4,100.0
울산광역시,중구,1.2,17.6
울산광역시,울주군,1.2,19.5
울산광역시,남구,1.2,27.7
울산광역시,동구,1.2,13.1
울산광역시,북구,1.2,22.1
인천광역시,서구,1.7,26.9
인천광역시,부평구,1.7,15.2
인천광역시,남동구,1.7,17.5
인천광역시,동구,1.7,1.0
인천광역시,미추홀구,1.7,4.4
인천광역시,강화군,1.7,5.8
인천광역시,중구,1.7,3.8
인천광역시,계양구,1.7,9.2
인천광역시,연수구,1.7,15.4
인천광역시,옹진군,1.7,1.0
전라남도,여수시,0.2,8.4
전라남도,영암군,0.2,9.8
전라남도,목포시,0.2,9.8
전라남도,나주시,0.2,11.5
전라남도,광양시,0.2,13.1
전라남도,구례군,0.2,1.6
전라남도,순천시,0.2,14.7
전라남도,완도군,0.2,4.9
전라남도,고흥군,0.2,8.2
전라남도,해남군,0.2,8.2
전라남도,무안군,0.2,6.5
전라남도,담양군,0.2,1.6
전라남도,곡성군,0.2,1.6
전라북도,익산시,0.2,13.6
전라북도,정읍시,0.2,9.0
전라북도,부안군,0.2,1.5
전라북도,군산시,0.2,10.6
전라북도,고창군,0.2,4.5
전라북도,남원시,0.2,4.5
전라북도,전주시 덕진구,0.2,23.1
전라북도,전주시 완산구,0.2,6.0
전라북도,진안군,0.2,3.0
전라북도,무주군,0.2,11.8
전라북도,완주군,0.2,4.5
전라북도,김제시,0.2,7.9
제주특별자치도,서귀포시,0.5,47.4
제주특별자치도,제주시,0.5,52.6
충청남도,천안시 서북구,1.2,25.4
충청남도,아산시,1.2,28.6
충청남도,천안시 동남구,1.2,9.3
충청남도,계룡시,1.2,3.5
충청남도,금산군,1.2,5.7
충청남도,홍성군,1.2,4.4
충청남도,공주시,1.2,3.6
충청남도,서천군,1.2,1.4
충청남도,서산시,1.2,3.5
충청남도,예산군,1.2,3.9
충청남도,당진시,1.2,4.1
충청남도,논산시,1.2,2.5
충청남도,보령시,1.2,1.1
충청남도,태안군,1.2,1.6
충청남도,부여군,1.2,1.1
충청남도,청양군,1.2,0.3
충청북도,충주시,3.5,13.6
충청북도,제천시,3.5,18.9
충청북도,청주시 청원구,3.5,7.0
충청북도,청주시 흥덕구,3.5,5.0
충청북도,청주시 서원구,3.5,9.9
충청북도,음성군,3.5,5.9
충청북도,진천군,3.5,6.2
충청북도,단양군,3.5,19.7
충청북도,괴산군,3.5,3.5
충청북도,청주시 상당구,3.5,3.9
충청북도,증평군,3.5,1.8
충청북도,옥천군,3.5,1.5
충청북도,영동군,3.5,1.9
충청북도,보은군,3.5,1.2
