기준연월,방문비율
20220811,4.6
20220812,15.4
20220813,104.1
20220814,57.0
20220815,105.0
20220816,21.7
20220817,16.0
20220818,34.0
20220819,39.6
20220820,69.4
20220821,77.3
20220822,47.5
20220823,35.4
20220824,26.3
20220825,28.8
20220826,33.7
20220827,54.5
20220828,53.6
20220829,35.8
20220830,33.5
20220831,29.5
20220901,44.5
20220902,24.4
20220903,4.2
20220904,9.3
20220905,28.6
20220906,19.5
20220907,0.2
20220908,9.6
20220909,59.4
20220910,62.8
20220911,65.9
20220912,86.8
20220913,29.6
20220914,18.2
20220915,28.4
20220916,28.6
20220917,22.8
20220918,37.9
20220919,48.7
20220920,36.6
20220921,39.1
20220922,39.4
20220923,37.3
20220924,17.7
20220925,20.2
20220926,38.2
20220927,38.4
20220928,32.3
20220929,35.8
20220930,34.9
20221001,35.8
20221002,20.0
20221003,49.6
20221004,18.4
20221005,14.7
20221006,19.1
20221007,9.3
20221008,12.1
20221009,42.6
20221010,60.7
20221011,17.2
20221012,12.3
20221013,27.2
20221014,21.0
20221015,27.7
20221016,26.8
20221017,33.8
20221018,40.7
20221019,41.2
20221020,44.4
20221021,49.1
20221022,28.8
20221023,27.7
20221024,43.3
20221025,41.9
20221026,33.1
20221027,41.0
20221028,39.1
20221029,25.1
20221030,27.2
20221031,45.8
20221101,61.9
20221102,41.0
20221103,34.5
20221104,38.2
20221105,25.8
20221106,26.8
20221107,31.2
20221108,20.3
