기준연월,방문비율
20220811,96.2
20220812,167.5
20220813,255.0
20220814,235.9
20220815,162.3
20220816,152.8
20220817,155.4
20220818,145.7
20220819,176.7
20220820,261.1
20220821,264.0
20220822,100.1
20220823,152.6
20220824,150.2
20220825,149.4
20220826,172.7
20220827,271.6
20220828,286.5
20220829,112.2
20220830,154.4
20220831,141.0
20220901,87.0
20220902,111.1
20220903,219.9
20220904,236.7
20220905,77.6
20220906,97.2
20220907,95.2
20220908,95.4
20220909,259.5
20220910,262.1
20220911,264.2
20220912,250.6
20220913,107.5
20220914,108.8
20220915,110.4
20220916,113.5
20220917,234.1
20220918,290.7
20220919,101.7
20220920,138.1
20220921,110.1
20220922,102.0
20220923,133.2
20220924,260.0
20220925,289.9
20220926,110.4
20220927,130.5
20220928,126.6
20220929,128.2
20220930,151.5
20221001,211.5
20221002,246.9
20221003,170.6
20221004,104.1
20221005,107.7
20221006,103.5
20221007,132.9
20221008,233.0
20221009,245.3
20221010,163.6
20221011,105.6
20221012,103.3
20221013,108.8
20221014,122.4
20221015,225.4
20221016,255.0
20221017,103.5
20221018,114.3
20221019,109.8
20221020,106.7
20221021,116.4
20221022,230.7
20221023,283.9
20221024,102.0
20221025,119.8
20221026,112.7
20221027,122.4
20221028,136.8
20221029,249.0
20221030,311.9
20221031,106.2
20221101,98.6
20221102,79.2
20221103,73.4
20221104,106.2
20221105,205.5
20221106,214.4
20221107,59.5
20221108,92.8
