기준연월,방문비율
20220817,85.2
20220818,99.0
20220819,126.6
20220820,116.9
20220821,175.3
20220822,112.0
20220823,99.8
20220824,99.8
20220825,122.6
20220826,138.0
20220827,140.4
20220828,166.4
20220829,95.0
20220830,80.4
20220831,75.5
20220901,39.8
20220902,64.1
20220903,131.5
20220904,117.7
20220905,64.9
20220906,67.4
20220907,78.7
20220908,92.5
20220909,149.4
20220910,185.1
20220911,239.4
20220912,120.1
20220913,69.8
20220914,83.6
20220915,108.8
20220916,131.5
20220917,163.1
20220918,172.1
20220919,82.0
20220920,76.3
20220921,93.3
20220922,116.9
20220923,125.8
20220924,168.0
20220925,176.9
20220926,108.8
20220927,113.6
20220928,86.9
20220929,77.9
20220930,104.7
20221001,160.7
20221002,160.7
20221003,123.4
20221004,73.9
20221005,78.7
20221006,90.1
20221007,120.9
20221008,162.3
20221009,209.4
20221010,127.4
20221011,84.4
20221012,75.5
20221013,84.4
20221014,115.3
20221015,183.4
20221016,158.3
20221017,78.7
20221018,97.4
20221019,86.9
20221020,95.0
20221021,120.1
20221022,221.6
20221023,210.2
20221024,99.8
20221025,127.4
20221026,124.2
20221027,114.4
20221028,131.5
20221029,220.0
20221030,205.4
20221031,93.3
20221101,138.0
20221102,109.6
20221103,64.9
20221104,107.1
20221105,195.6
20221106,168.8
20221107,81.2
20221108,97.4
20221109,82.0
20221110,90.1
20221111,87.7
20221112,144.5
20221113,140.4
20221114,93.3
