광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,삼척시,0.6,15.1
강원도,인제군,0.6,3.2
강원도,강릉시,0.6,21.2
강원도,원주시,0.6,7.8
강원도,동해시,0.6,16.9
강원도,화천군,0.6,0.7
강원도,평창군,0.6,6.3
강원도,고성군,0.6,1.8
강원도,양구군,0.6,0.4
강원도,정선군,0.6,1.4
강원도,춘천시,0.6,9.1
강원도,속초시,0.6,6.7
강원도,철원군,0.6,1.4
강원도,홍천군,0.6,1.4
강원도,횡성군,0.6,0.7
강원도,영월군,0.6,1.8
강원도,양양군,0.6,1.1
강원도,태백시,0.6,3.2
경기도,남양주시,2.5,8.2
경기도,양평군,2.5,1.2
경기도,구리시,2.5,1.3
경기도,화성시,2.5,4.8
경기도,용인시 기흥구,2.5,2.5
경기도,성남시 분당구,2.5,8.5
경기도,용인시 처인구,2.5,2.2
경기도,수원시 팔달구,2.5,1.5
경기도,양주시,2.5,5.1
경기도,용인시 수지구,2.5,2.2
경기도,고양시 일산서구,2.5,1.7
경기도,안양시 만안구,2.5,1.1
경기도,안산시 단원구,2.5,1.6
경기도,군포시,2.5,3.1
경기도,평택시,2.5,4.5
경기도,동두천시,2.5,0.5
경기도,과천시,2.5,0.5
경기도,안양시 동안구,2.5,3.2
경기도,의정부시,2.5,3.2
경기도,파주시,2.5,2.4
경기도,수원시 장안구,2.5,2.6
경기도,부천시,2.5,2.8
경기도,오산시,2.5,0.8
경기도,수원시 권선구,2.5,1.4
경기도,시흥시,2.5,1.7
경기도,수원시 영통구,2.5,3.4
경기도,고양시 일산동구,2.5,2.5
경기도,광주시,2.5,4.7
경기도,고양시 덕양구,2.5,3.0
경기도,이천시,2.5,3.4
경기도,포천시,2.5,0.5
경기도,안성시,2.5,1.3
경기도,성남시 수정구,2.5,1.3
경기도,안산시 상록구,2.5,1.6
경기도,여주시,2.5,0.7
경기도,김포시,2.5,4.0
경기도,하남시,2.5,1.9
경기도,성남시 중원구,2.5,0.7
경기도,의왕시,2.5,0.6
경기도,광명시,2.5,1.3
경기도,가평군,2.5,0.4
경기도,연천군,2.5,0.1
경상남도,양산시,1.8,23.0
경상남도,김해시,1.8,18.9
경상남도,사천시,1.8,2.0
경상남도,창원시 마산합포구,1.8,4.5
경상남도,창원시 성산구,1.8,6.1
경상남도,창원시 의창구,1.8,5.0
경상남도,거제시,1.8,5.8
경상남도,창원시 진해구,1.8,6.9
경상남도,함안군,1.8,3.3
경상남도,창원시 마산회원구,1.8,2.1
경상남도,합천군,1.8,1.2
경상남도,진주시,1.8,5.2
경상남도,통영시,1.8,2.3
경상남도,하동군,1.8,2.5
경상남도,밀양시,1.8,3.1
경상남도,의령군,1.8,1.1
경상남도,남해군,1.8,0.4
경상남도,거창군,1.8,1.6
경상남도,고성군,1.8,1.1
경상남도,창녕군,1.8,2.7
경상남도,산청군,1.8,0.4
경상남도,함양군,1.8,0.6
경상북도,포항시 북구,81.3,73.0
경상북도,경주시,81.3,19.2
경상북도,경산시,81.3,1.4
경상북도,영천시,81.3,1.3
경상북도,구미시,81.3,0.6
경상북도,김천시,81.3,0.3
경상북도,영덕군,81.3,1.0
경상북도,울릉군,81.3,0.2
경상북도,영주시,81.3,0.1
경상북도,울진군,81.3,0.5
경상북도,안동시,81.3,0.5
경상북도,칠곡군,81.3,0.2
경상북도,고령군,81.3,0.0
경상북도,상주시,81.3,0.1
경상북도,청송군,81.3,0.3
경상북도,영양군,81.3,0.1
경상북도,예천군,81.3,0.2
경상북도,군위군,81.3,0.0
경상북도,성주군,81.3,0.1
경상북도,청도군,81.3,0.1
경상북도,봉화군,81.3,0.1
경상북도,의성군,81.3,0.1
경상북도,문경시,81.3,0.0
경상북도,포항시 남구,81.3,0.7
광주광역시,남구,0.1,10.4
광주광역시,광산구,0.1,31.2
광주광역시,북구,0.1,20.8
광주광역시,서구,0.1,31.2
광주광역시,동구,0.1,6.2
대구광역시,북구,5.0,21.9
대구광역시,수성구,5.0,21.8
대구광역시,동구,5.0,20.1
대구광역시,달서구,5.0,17.0
대구광역시,달성군,5.0,7.4
대구광역시,남구,5.0,4.4
대구광역시,서구,5.0,4.1
대구광역시,중구,5.0,3.4
대전광역시,중구,0.4,12.3
대전광역시,서구,0.4,34.9
대전광역시,유성구,0.4,32.6
대전광역시,동구,0.4,13.3
대전광역시,대덕구,0.4,7.0
부산광역시,해운대구,2.3,12.9
부산광역시,부산진구,2.3,8.8
부산광역시,서구,2.3,2.3
부산광역시,영도구,2.3,6.7
부산광역시,남구,2.3,5.7
부산광역시,금정구,2.3,11.5
부산광역시,사하구,2.3,8.7
부산광역시,연제구,2.3,7.5
부산광역시,동래구,2.3,6.8
부산광역시,북구,2.3,8.3
부산광역시,사상구,2.3,3.3
부산광역시,수영구,2.3,6.0
부산광역시,강서구,2.3,4.3
부산광역시,동구,2.3,1.5
부산광역시,기장군,2.3,5.4
부산광역시,중구,2.3,0.3
서울특별시,강남구,1.8,9.2
서울특별시,구로구,1.8,4.3
서울특별시,은평구,1.8,4.3
서울특별시,서초구,1.8,5.2
서울특별시,송파구,1.8,8.1
서울특별시,동작구,1.8,5.9
서울특별시,강서구,1.8,5.5
서울특별시,금천구,1.8,2.0
서울특별시,관악구,1.8,6.5
서울특별시,용산구,1.8,2.3
서울특별시,동대문구,1.8,3.6
서울특별시,서대문구,1.8,5.9
서울특별시,마포구,1.8,4.5
서울특별시,중구,1.8,1.4
서울특별시,중랑구,1.8,2.3
서울특별시,노원구,1.8,3.0
서울특별시,강동구,1.8,4.8
서울특별시,영등포구,1.8,4.6
서울특별시,성북구,1.8,4.6
서울특별시,성동구,1.8,3.3
서울특별시,광진구,1.8,1.8
서울특별시,종로구,1.8,1.4
서울특별시,강북구,1.8,1.5
서울특별시,양천구,1.8,2.6
서울특별시,도봉구,1.8,1.4
세종특별자치시,세종특별자치시,0.1,100.0
울산광역시,울주군,2.1,23.9
울산광역시,북구,2.1,23.0
울산광역시,남구,2.1,26.2
울산광역시,중구,2.1,13.8
울산광역시,동구,2.1,13.2
인천광역시,연수구,0.5,35.6
인천광역시,서구,0.5,17.1
인천광역시,계양구,0.5,5.0
인천광역시,부평구,0.5,8.0
인천광역시,남동구,0.5,9.5
인천광역시,중구,0.5,4.5
인천광역시,미추홀구,0.5,15.7
인천광역시,옹진군,0.5,2.6
인천광역시,강화군,0.5,1.5
인천광역시,동구,0.5,0.5
전라남도,광양시,0.2,38.1
전라남도,장성군,0.2,16.4
전라남도,여수시,0.2,7.2
전라남도,목포시,0.2,8.2
전라남도,영암군,0.2,3.1
전라남도,순천시,0.2,7.2
전라남도,담양군,0.2,1.0
전라남도,나주시,0.2,4.1
전라남도,무안군,0.2,1.0
전라남도,화순군,0.2,1.0
전라남도,장흥군,0.2,1.0
전라남도,구례군,0.2,1.0
전라남도,진도군,0.2,1.0
전라남도,신안군,0.2,1.0
전라남도,보성군,0.2,1.0
전라남도,완도군,0.2,2.1
전라남도,영광군,0.2,1.0
전라남도,고흥군,0.2,3.3
전라남도,강진군,0.2,1.1
전라북도,전주시 완산구,0.2,17.0
전라북도,군산시,0.2,22.3
전라북도,전주시 덕진구,0.2,19.3
전라북도,익산시,0.2,15.9
전라북도,김제시,0.2,2.1
전라북도,완주군,0.2,3.2
전라북도,남원시,0.2,1.1
전라북도,무주군,0.2,1.1
전라북도,고창군,0.2,15.9
전라북도,장수군,0.2,1.1
전라북도,정읍시,0.2,1.1
제주특별자치도,제주시,0.1,63.3
제주특별자치도,서귀포시,0.1,36.7
충청남도,천안시 서북구,0.5,24.2
충청남도,아산시,0.5,16.7
충청남도,당진시,0.5,19.7
충청남도,서산시,0.5,6.3
충청남도,예산군,0.5,1.3
충청남도,논산시,0.5,2.2
충청남도,계룡시,0.5,7.6
충청남도,금산군,0.5,1.3
충청남도,태안군,0.5,0.4
충청남도,천안시 동남구,0.5,12.1
충청남도,부여군,0.5,2.2
충청남도,홍성군,0.5,1.8
충청남도,공주시,0.5,2.3
충청남도,보령시,0.5,1.8
충청북도,청주시 청원구,0.5,10.7
충청북도,청주시 흥덕구,0.5,18.6
충청북도,충주시,0.5,10.7
충청북도,옥천군,0.5,2.8
충청북도,제천시,0.5,7.4
충청북도,음성군,0.5,5.6
충청북도,증평군,0.5,1.9
충청북도,청주시 서원구,0.5,6.0
충청북도,영동군,0.5,3.2
충청북도,보은군,0.5,19.9
충청북도,청주시 상당구,0.5,7.0
충청북도,진천군,0.5,6.2
