기준연월,방문비율
20220811,120.6
20220812,131.8
20220813,191.6
20220814,153.0
20220815,184.5
20220816,119.3
20220817,120.0
20220818,120.3
20220819,140.9
20220820,210.5
20220821,181.7
20220822,116.6
20220823,118.9
20220824,118.6
20220825,123.5
20220826,138.3
20220827,199.5
20220828,190.7
20220829,121.2
20220830,140.6
20220831,137.8
20220901,94.9
20220902,126.1
20220903,186.5
20220904,165.7
20220905,105.5
20220906,89.1
20220907,86.0
20220908,93.2
20220909,215.8
20220910,263.0
20220911,253.1
20220912,230.3
20220913,90.7
20220914,92.2
20220915,95.1
20220916,106.9
20220917,193.7
20220918,197.2
20220919,111.5
20220920,105.7
20220921,104.5
20220922,105.5
20220923,121.4
20220924,205.4
20220925,195.4
20220926,119.0
20220927,112.4
20220928,112.2
20220929,110.9
20220930,135.9
20221001,264.4
20221002,261.8
20221003,252.8
20221004,138.9
20221005,141.2
20221006,138.7
20221007,148.6
20221008,257.3
20221009,287.9
20221010,263.3
20221011,135.1
20221012,131.5
20221013,130.2
20221014,145.9
20221015,249.9
20221016,241.9
20221017,142.4
20221018,135.4
20221019,138.1
20221020,138.3
20221021,151.8
20221022,255.4
20221023,247.9
20221024,151.4
20221025,145.0
20221026,144.7
20221027,144.4
20221028,159.6
20221029,260.4
20221030,274.1
20221031,172.1
20221101,77.6
20221102,91.0
20221103,82.7
20221104,99.6
20221105,170.3
20221106,151.3
20221107,88.8
20221108,79.2
