기준연월,방문비율
20220811,176.9
20220812,197.0
20220813,218.0
20220814,162.8
20220815,195.6
20220816,203.5
20220817,207.8
20220818,209.2
20220819,226.1
20220820,252.5
20220821,217.2
20220822,207.7
20220823,217.4
20220824,206.9
20220825,226.8
20220826,238.8
20220827,258.2
20220828,227.5
20220829,216.8
20220830,219.6
20220831,217.2
20220901,146.9
20220902,166.3
20220903,180.7
20220904,159.1
20220905,156.9
20220906,151.5
20220907,152.4
20220908,162.3
20220909,160.0
20220910,183.6
20220911,164.5
20220912,149.9
20220913,170.1
20220914,167.9
20220915,177.0
20220916,188.3
20220917,212.7
20220918,189.9
20220919,175.4
20220920,179.7
20220921,186.1
20220922,199.2
20220923,209.4
20220924,231.8
20220925,205.8
20220926,187.7
20220927,197.9
20220928,200.8
20220929,213.2
20220930,224.2
20221001,168.6
20221002,149.3
20221003,133.8
20221004,143.3
20221005,146.4
20221006,155.3
20221007,163.6
20221008,186.3
20221009,162.5
20221010,144.7
20221011,152.8
20221012,157.4
20221013,165.5
20221014,178.4
20221015,205.6
20221016,181.6
20221017,169.1
20221018,167.7
20221019,174.2
20221020,183.8
20221021,195.4
20221022,220.7
20221023,195.0
20221024,174.9
20221025,193.6
20221026,188.2
20221027,202.2
20221028,210.6
20221029,235.7
20221030,206.9
20221031,191.5
20221101,136.8
20221102,142.2
20221103,147.4
20221104,158.5
20221105,186.8
20221106,167.3
20221107,152.7
20221108,146.9
