기준연월,방문비율
20220811,43.7
20220812,44.9
20220813,61.9
20220814,70.9
20220815,48.6
20220816,43.5
20220817,44.9
20220818,45.4
20220819,47.3
20220820,62.9
20220821,67.9
20220822,46.3
20220823,46.2
20220824,48.4
20220825,47.6
20220826,49.3
20220827,65.0
20220828,72.5
20220829,46.4
20220830,49.5
20220831,46.1
20220901,44.3
20220902,48.4
20220903,57.6
20220904,58.3
20220905,39.4
20220906,39.9
20220907,40.1
20220908,43.6
20220909,76.0
20220910,81.5
20220911,80.0
20220912,63.0
20220913,42.9
20220914,43.8
20220915,43.9
20220916,46.2
20220917,66.1
20220918,68.5
20220919,43.5
20220920,45.2
20220921,46.2
20220922,46.7
20220923,48.8
20220924,72.5
20220925,77.8
20220926,46.4
20220927,47.1
20220928,48.1
20220929,52.8
20220930,52.6
20221001,65.7
20221002,65.0
20221003,58.8
20221004,36.0
20221005,37.6
20221006,37.5
20221007,41.0
20221008,67.0
20221009,80.9
20221010,61.2
20221011,39.3
20221012,40.3
20221013,40.4
20221014,44.4
20221015,66.8
20221016,68.1
20221017,37.4
20221018,40.4
20221019,41.3
20221020,42.3
20221021,45.6
20221022,68.2
20221023,74.2
20221024,42.0
20221025,42.9
20221026,43.6
20221027,43.4
20221028,46.6
20221029,75.2
20221030,77.3
20221031,40.9
20221101,34.1
20221102,39.9
20221103,34.2
20221104,43.5
20221105,65.4
20221106,59.3
20221107,34.9
20221108,41.7
