기준연월,방문비율
20220811,121.4
20220812,127.7
20220813,132.2
20220814,91.0
20220815,128.0
20220816,136.0
20220817,136.9
20220818,139.5
20220819,143.8
20220820,141.7
20220821,110.2
20220822,137.8
20220823,140.7
20220824,143.9
20220825,146.7
20220826,154.0
20220827,150.5
20220828,113.9
20220829,144.0
20220830,149.0
20220831,147.7
20220901,112.2
20220902,117.3
20220903,119.6
20220904,88.8
20220905,110.0
20220906,113.4
20220907,113.3
20220908,120.4
20220909,115.4
20220910,127.6
20220911,106.0
20220912,118.6
20220913,128.3
20220914,130.2
20220915,134.1
20220916,140.9
20220917,138.8
20220918,105.7
20220919,132.3
20220920,135.9
20220921,136.5
20220922,138.4
20220923,142.1
20220924,143.7
20220925,112.0
20220926,139.4
20220927,144.8
20220928,144.9
20220929,143.2
20220930,146.2
20221001,115.8
20221002,86.4
20221003,94.6
20221004,109.2
20221005,108.0
20221006,111.1
20221007,119.0
20221008,126.4
20221009,94.9
20221010,117.4
20221011,120.0
20221012,118.8
20221013,123.7
20221014,133.0
20221015,135.9
20221016,104.7
20221017,128.1
20221018,131.1
20221019,129.1
20221020,130.1
20221021,137.1
20221022,137.7
20221023,108.4
20221024,134.9
20221025,137.4
20221026,139.2
20221027,139.2
20221028,145.1
20221029,142.8
20221030,109.3
20221031,135.5
20221101,104.4
20221102,103.6
20221103,105.5
20221104,116.0
20221105,119.9
20221106,89.7
20221107,106.2
20221108,111.1
