기준연월,방문비율
20220811,130.0
20220812,119.9
20220813,131.9
20220814,112.8
20220815,157.2
20220816,114.5
20220817,147.0
20220818,126.0
20220819,121.6
20220820,150.1
20220821,168.4
20220822,111.3
20220823,136.6
20220824,144.9
20220825,124.4
20220826,116.1
20220827,150.5
20220828,161.7
20220829,102.1
20220830,135.0
20220831,149.6
20220901,81.8
20220902,63.0
20220903,141.3
20220904,146.8
20220905,100.4
20220906,121.6
20220907,109.7
20220908,95.1
20220909,193.7
20220910,188.5
20220911,265.0
20220912,200.4
20220913,120.3
20220914,130.1
20220915,105.9
20220916,95.5
20220917,147.9
20220918,216.1
20220919,111.1
20220920,133.8
20220921,136.4
20220922,105.2
20220923,115.9
20220924,202.4
20220925,239.8
20220926,112.5
20220927,129.9
20220928,132.7
20220929,103.2
20220930,93.7
20221001,119.0
20221002,151.5
20221003,185.6
20221004,76.6
20221005,102.4
20221006,95.8
20221007,41.6
20221008,134.7
20221009,287.7
20221010,187.8
20221011,107.7
20221012,115.1
20221013,94.6
20221014,66.4
20221015,150.4
20221016,251.5
20221017,98.3
20221018,129.9
20221019,134.7
20221020,115.6
20221021,97.8
20221022,179.3
20221023,266.5
20221024,115.2
20221025,144.6
20221026,157.1
20221027,167.8
20221028,168.3
20221029,304.1
20221030,390.0
20221031,180.2
20221101,178.3
20221102,189.2
20221103,175.4
20221104,192.0
20221105,397.2
20221106,419.3
20221107,144.1
20221108,194.2
