순위,관광지명,주소,분류,
1,이마트/월배점,대구 달서구 진천로 92-0,쇼핑,대구광역시 달서구
2,홈플러스/성서점,대구 달서구 달구벌대로 1467-0,쇼핑,대구광역시 달서구
3,대구수목원,대구 달서구 화암로 342-0,자연관광지,대구광역시 달서구
4,이마트/성서점,대구 달서구 이곡동로 24-0,쇼핑,대구광역시 달서구
5,롯데백화점/상인점,대구 달서구 월배로 232-0,쇼핑,대구광역시 달서구
6,이월드,대구 달서구 두류공원로 200-0,휴양관광지,대구광역시 달서구
7,모다아울렛/대구점,대구 달서구 달서대로 411-0,쇼핑,대구광역시 달서구
8,두류공원,대구 달서구 두류공원로 161-0,자연관광지,대구광역시 달서구
9,홈플러스/상인점,대구 달서구 월배로 183-0,쇼핑,대구광역시 달서구
10,서남시장,대구 달서구 달구벌대로 1643-0,쇼핑,대구광역시 달서구
11,월광수변공원,대구 달서구,자연관광지,대구광역시 달서구
12,83타워,대구 달서구 두류공원로 200-0,기타관광지,대구광역시 달서구
13,와룡시장,대구 달서구 성서서로 347-1,쇼핑,대구광역시 달서구
14,월광수변공원,대구 달서구 월곡로 5-0,자연관광지,대구광역시 달서구
15,코오롱야외음악당,대구 달서구 야외음악당로 180-0,공연/행사,대구광역시 달서구
16,장보고식자재마트/진천점,대구 달서구 진천로 22-0,쇼핑,대구광역시 달서구
17,동행복권판매점/일등복권편의점,대구 달서구 대명천로 220-0,쇼핑,대구광역시 달서구
18,월배시장,대구 달서구 월배로24길 13-0,쇼핑,대구광역시 달서구
19,장보고식자재마트/월배점,대구 달서구 월배로23길 101-0,쇼핑,대구광역시 달서구
20,다이소/대구진천점,대구 달서구 월배로 51-0,쇼핑,대구광역시 달서구
21,CGV/대구월성,대구 달서구 조암로 29-0,공연/행사,대구광역시 달서구
22,장보고식자재마트/감삼점,대구 달서구 와룡로 157-0,쇼핑,대구광역시 달서구
23,대명유수지,대구 달서구 달서대로 351-0,자연관광지,대구광역시 달서구
24,캠핑고래/대구점,대구 달서구 월배로23길 80-0,쇼핑,대구광역시 달서구
25,하나로마트/성서점,대구 달서구 용산로 147-0,쇼핑,대구광역시 달서구
26,롯데시네마/성서,대구 달서구 성서로 414-0,공연/행사,대구광역시 달서구
27,장보고식자재마트/상인점,대구 달서구 월곡로 243-0,쇼핑,대구광역시 달서구
28,두류수영장,대구 달서구 공원순환로 237-0,기타관광지,대구광역시 달서구
29,삼성전자서비스/남대구센터,대구 달서구 구마로 259-0,쇼핑,대구광역시 달서구
30,롯데시네마/상인,대구 달서구 월곡로 247-0,공연/행사,대구광역시 달서구
31,피클샵,대구 달서구 월배로 25-0,쇼핑,대구광역시 달서구
32,성당못,대구 달서구,자연관광지,대구광역시 달서구
33,대구학생문화센터,대구 달서구 용산로 181-0,문화시설,대구광역시 달서구
34,달서시장,대구 달서구 당산로 35-0,쇼핑,대구광역시 달서구
35,성서쇼핑월드,대구 달서구 이곡서로 25-0,쇼핑,대구광역시 달서구
36,두류공원,대구 달서구 두류공원로 161-0,문화관광,대구광역시 달서구
37,다이소/대구대곡지구점,대구 달서구 도원로서길 3-14,쇼핑,대구광역시 달서구
38,삼성전자서비스/서대구센터,대구 달서구 달구벌대로 1652-0,쇼핑,대구광역시 달서구
39,롯데하이마트/월배점,대구 달서구 월배로 59-0,쇼핑,대구광역시 달서구
40,대구수목원,대구 달서구 화암로 342-0,자연관광,대구광역시 달서구
41,다이소/대구죽전네거리점,대구 달서구 달구벌대로 1541-1,쇼핑,대구광역시 달서구
42,이월드,대구 달서구 두류공원로 200-0,문화관광,대구광역시 달서구
