기준연월,방문비율
20220811,103.4
20220812,101.7
20220813,109.7
20220814,95.9
20220815,112.3
20220816,115.2
20220817,106.9
20220818,116.0
20220819,119.0
20220820,121.2
20220821,103.6
20220822,110.1
20220823,112.1
20220824,111.1
20220825,118.7
20220826,120.9
20220827,124.0
20220828,107.6
20220829,117.5
20220830,120.9
20220831,119.1
20220901,104.8
20220902,105.8
20220903,105.4
20220904,91.4
20220905,101.7
20220906,100.0
20220907,95.2
20220908,105.2
20220909,103.0
20220910,103.4
20220911,94.8
20220912,99.7
20220913,102.3
20220914,101.8
20220915,115.9
20220916,118.9
20220917,117.8
20220918,104.8
20220919,110.1
20220920,109.1
20220921,108.9
20220922,116.7
20220923,117.7
20220924,116.3
20220925,104.1
20220926,112.8
20220927,112.7
20220928,115.0
20220929,120.6
20220930,118.2
20221001,100.5
20221002,87.1
20221003,92.9
20221004,97.4
20221005,96.9
20221006,104.1
20221007,101.2
20221008,104.3
20221009,87.6
20221010,95.4
20221011,102.8
20221012,98.5
20221013,107.7
20221014,106.7
20221015,107.8
20221016,95.3
20221017,103.3
20221018,104.1
20221019,105.2
20221020,113.0
20221021,111.1
20221022,107.0
20221023,91.8
20221024,106.7
20221025,106.1
20221026,106.6
20221027,113.3
20221028,113.5
20221029,106.3
20221030,89.0
20221031,108.0
20221101,96.0
20221102,95.3
20221103,99.6
20221104,100.6
20221105,101.1
20221106,86.5
20221107,94.8
20221108,97.1
