기준연월,방문비율
20220811,70.4
20220812,67.3
20220813,96.6
20220814,124.9
20220815,79.3
20220816,67.7
20220817,72.0
20220818,71.9
20220819,71.5
20220820,98.1
20220821,107.8
20220822,65.0
20220823,71.7
20220824,76.5
20220825,78.0
20220826,76.8
20220827,101.9
20220828,115.5
20220829,66.3
20220830,79.2
20220831,75.6
20220901,71.7
20220902,76.0
20220903,127.6
20220904,138.9
20220905,62.9
20220906,68.3
20220907,69.5
20220908,76.3
20220909,175.2
20220910,187.7
20220911,199.4
20220912,148.1
20220913,78.8
20220914,78.9
20220915,77.8
20220916,81.6
20220917,140.5
20220918,160.5
20220919,75.3
20220920,82.9
20220921,81.5
20220922,80.1
20220923,82.2
20220924,151.0
20220925,173.8
20220926,85.5
20220927,98.3
20220928,100.9
20220929,98.0
20220930,95.5
20221001,127.7
20221002,142.1
20221003,140.9
20221004,68.8
20221005,70.3
20221006,65.6
20221007,68.2
20221008,133.3
20221009,196.1
20221010,143.8
20221011,70.8
20221012,70.1
20221013,67.2
20221014,67.5
20221015,127.7
20221016,148.7
20221017,59.2
20221018,68.0
20221019,69.8
20221020,69.0
20221021,68.5
20221022,124.2
20221023,149.0
20221024,57.8
20221025,70.5
20221026,71.9
20221027,69.8
20221028,71.6
20221029,119.6
20221030,138.1
20221031,56.5
20221101,48.7
20221102,51.6
20221103,48.0
20221104,50.2
20221105,89.2
20221106,90.5
20221107,35.2
20221108,50.6
