기준연월,방문비율
20220811,244.1
20220812,312.9
20220813,462.7
20220814,225.8
20220815,308.4
20220816,235.0
20220817,265.8
20220818,268.2
20220819,321.3
20220820,473.8
20220821,360.9
20220822,152.4
20220823,265.3
20220824,274.2
20220825,293.4
20220826,348.8
20220827,499.1
20220828,390.3
20220829,163.4
20220830,267.0
20220831,262.0
20220901,239.5
20220902,302.4
20220903,493.2
20220904,381.7
20220905,123.7
20220906,192.0
20220907,187.0
20220908,244.8
20220909,491.8
20220910,524.1
20220911,451.0
20220912,347.5
20220913,185.2
20220914,207.4
20220915,232.9
20220916,276.3
20220917,443.0
20220918,375.1
20220919,110.9
20220920,182.1
20220921,198.1
20220922,233.3
20220923,292.4
20220924,475.8
20220925,369.5
20220926,143.9
20220927,226.0
20220928,233.4
20220929,265.3
20220930,316.7
20221001,461.9
20221002,384.3
20221003,369.5
20221004,196.5
20221005,215.0
20221006,252.4
20221007,268.7
20221008,477.9
20221009,450.8
20221010,352.4
20221011,185.7
20221012,200.7
20221013,219.3
20221014,269.3
20221015,443.4
20221016,353.0
20221017,112.4
20221018,175.8
20221019,189.4
20221020,213.3
20221021,263.0
20221022,452.0
20221023,363.6
20221024,135.7
20221025,200.1
20221026,207.9
20221027,232.0
20221028,287.5
20221029,470.6
20221030,374.1
20221031,132.7
20221101,171.1
20221102,195.1
20221103,234.6
20221104,279.7
20221105,484.0
20221106,370.9
20221107,104.4
20221108,176.4
