기준연월,방문비율
20220811,101.4
20220812,90.8
20220813,112.9
20220814,92.6
20220815,112.9
20220816,81.1
20220817,86.4
20220818,78.5
20220819,75.8
20220820,98.8
20220821,99.6
20220822,82.0
20220823,83.8
20220824,89.1
20220825,79.4
20220826,75.8
20220827,90.8
20220828,92.6
20220829,80.2
20220830,79.4
20220831,91.7
20220901,80.2
20220902,70.5
20220903,101.4
20220904,106.7
20220905,75.8
20220906,81.1
20220907,90.8
20220908,88.2
20220909,207.2
20220910,154.3
20220911,154.3
20220912,194.9
20220913,87.3
20220914,96.1
20220915,93.5
20220916,88.2
20220917,116.4
20220918,121.7
20220919,86.4
20220920,91.7
20220921,104.9
20220922,89.1
20220923,88.2
20220924,117.3
20220925,118.2
20220926,89.1
20220927,82.9
20220928,98.8
20220929,84.7
20220930,84.7
20221001,105.8
20221002,105.8
20221003,126.1
20221004,74.1
20221005,87.3
20221006,76.7
20221007,75.0
20221008,115.5
20221009,121.7
20221010,135.8
20221011,84.7
20221012,100.5
20221013,86.4
20221014,83.8
20221015,113.8
20221016,117.3
20221017,85.5
20221018,88.2
20221019,102.3
20221020,89.1
20221021,86.4
20221022,114.6
20221023,118.2
20221024,89.9
20221025,87.3
20221026,102.3
20221027,83.8
20221028,82.9
20221029,119.0
20221030,120.8
20221031,79.4
20221101,79.4
20221102,82.9
20221103,73.2
20221104,73.2
20221105,103.2
20221106,107.6
20221107,70.5
20221108,82.0
