기준연월,방문비율
20220811,96.9
20220812,94.9
20220813,73.3
20220814,48.3
20220815,83.0
20220816,92.3
20220817,82.0
20220818,86.6
20220819,88.4
20220820,71.9
20220821,65.2
20220822,98.3
20220823,101.1
20220824,89.6
20220825,97.0
20220826,96.6
20220827,77.1
20220828,67.7
20220829,98.6
20220830,98.3
20220831,100.5
20220901,78.5
20220902,80.7
20220903,62.0
20220904,55.7
20220905,98.8
20220906,102.1
20220907,97.7
20220908,91.9
20220909,59.8
20220910,57.5
20220911,49.4
20220912,67.5
20220913,99.3
20220914,82.2
20220915,87.8
20220916,88.9
20220917,66.4
20220918,56.6
20220919,99.8
20220920,95.8
20220921,93.6
20220922,89.3
20220923,92.7
20220924,73.4
20220925,65.3
20220926,102.4
20220927,97.8
20220928,102.1
20220929,102.7
20220930,105.1
20221001,61.1
20221002,52.4
20221003,69.3
20221004,87.9
20221005,94.3
20221006,80.7
20221007,83.1
20221008,69.1
20221009,50.6
20221010,67.6
20221011,87.4
20221012,85.5
20221013,80.4
20221014,83.6
20221015,65.8
20221016,54.6
20221017,95.7
20221018,90.2
20221019,89.8
20221020,85.7
20221021,86.1
20221022,68.4
20221023,64.2
20221024,96.3
20221025,93.0
20221026,94.8
20221027,92.6
20221028,96.9
20221029,76.6
20221030,64.0
20221031,99.0
20221101,73.1
20221102,94.4
20221103,81.5
20221104,82.0
20221105,60.4
20221106,48.3
20221107,89.5
20221108,88.7
