기준연월,방문비율
20220811,88.3
20220812,87.3
20220813,103.6
20220814,97.8
20220815,97.9
20220816,88.1
20220817,92.5
20220818,87.3
20220819,95.5
20220820,99.3
20220821,95.9
20220822,87.8
20220823,99.6
20220824,105.3
20220825,87.8
20220826,93.2
20220827,101.2
20220828,103.1
20220829,91.3
20220830,89.9
20220831,93.9
20220901,61.7
20220902,70.4
20220903,87.2
20220904,83.1
20220905,70.6
20220906,76.6
20220907,80.0
20220908,78.9
20220909,92.0
20220910,129.5
20220911,142.5
20220912,161.6
20220913,88.3
20220914,92.0
20220915,86.6
20220916,80.2
20220917,97.1
20220918,100.0
20220919,87.9
20220920,96.5
20220921,100.2
20220922,89.2
20220923,96.5
20220924,112.7
20220925,100.6
20220926,88.1
20220927,93.2
20220928,98.5
20220929,86.4
20220930,93.3
20221001,90.8
20221002,89.2
20221003,91.6
20221004,74.5
20221005,76.9
20221006,62.6
20221007,75.1
20221008,92.6
20221009,101.1
20221010,117.7
20221011,87.6
20221012,91.2
20221013,75.2
20221014,81.9
20221015,98.1
20221016,96.3
20221017,80.1
20221018,93.1
20221019,97.8
20221020,87.4
20221021,93.4
20221022,105.4
20221023,97.3
20221024,107.7
20221025,95.9
20221026,98.8
20221027,87.7
20221028,95.3
20221029,113.1
20221030,109.0
20221031,87.9
20221101,75.5
20221102,76.2
20221103,62.1
20221104,73.4
20221105,98.4
20221106,99.9
20221107,74.2
20221108,82.4
