기준연월,방문비율
20220811,89.6
20220812,90.7
20220813,121.6
20220814,161.0
20220815,162.5
20220816,92.2
20220817,92.7
20220818,81.1
20220819,93.3
20220820,127.5
20220821,149.1
20220822,75.2
20220823,100.9
20220824,102.9
20220825,91.9
20220826,102.3
20220827,130.3
20220828,154.0
20220829,72.0
20220830,91.0
20220831,96.0
20220901,57.8
20220902,64.3
20220903,117.7
20220904,204.2
20220905,61.9
20220906,73.3
20220907,74.3
20220908,67.3
20220909,232.9
20220910,220.9
20220911,255.6
20220912,190.9
20220913,69.4
20220914,70.7
20220915,76.3
20220916,73.3
20220917,122.6
20220918,221.3
20220919,72.3
20220920,91.4
20220921,91.5
20220922,78.1
20220923,99.8
20220924,169.6
20220925,219.6
20220926,71.7
20220927,93.7
20220928,95.8
20220929,90.5
20220930,92.2
20221001,189.8
20221002,294.1
20221003,216.4
20221004,79.5
20221005,82.7
20221006,87.1
20221007,85.5
20221008,187.2
20221009,296.2
20221010,202.9
20221011,89.0
20221012,88.7
20221013,80.4
20221014,83.5
20221015,162.7
20221016,251.2
20221017,86.7
20221018,96.9
20221019,92.3
20221020,85.9
20221021,89.2
20221022,181.7
20221023,256.6
20221024,85.2
20221025,104.0
20221026,105.9
20221027,101.6
20221028,109.0
20221029,208.3
20221030,257.5
20221031,94.4
20221101,94.5
20221102,91.7
20221103,101.0
20221104,120.6
20221105,279.4
20221106,314.1
20221107,94.7
20221108,106.0
