기준연월,방문비율
20220811,100.7
20220812,106.1
20220813,137.5
20220814,125.5
20220815,130.4
20220816,94.7
20220817,93.1
20220818,93.0
20220819,100.0
20220820,134.8
20220821,138.6
20220822,100.0
20220823,95.8
20220824,90.7
20220825,97.0
20220826,102.6
20220827,142.4
20220828,160.5
20220829,103.1
20220830,105.5
20220831,100.1
20220901,76.5
20220902,78.6
20220903,105.8
20220904,98.4
20220905,75.5
20220906,66.3
20220907,61.9
20220908,61.9
20220909,184.1
20220910,181.6
20220911,177.5
20220912,129.5
20220913,64.2
20220914,65.6
20220915,67.1
20220916,62.1
20220917,106.4
20220918,99.3
20220919,87.3
20220920,91.0
20220921,87.1
20220922,86.9
20220923,86.1
20220924,136.0
20220925,130.8
20220926,87.1
20220927,84.9
20220928,84.4
20220929,86.7
20220930,89.7
20221001,148.2
20221002,136.6
20221003,163.6
20221004,85.8
20221005,88.1
20221006,90.1
20221007,106.3
20221008,155.6
20221009,181.5
20221010,135.5
20221011,86.3
20221012,86.8
20221013,87.9
20221014,104.3
20221015,155.9
20221016,146.3
20221017,89.4
20221018,86.8
20221019,86.1
20221020,88.2
20221021,106.0
20221022,163.3
20221023,158.4
20221024,95.2
20221025,98.1
20221026,87.9
20221027,89.9
20221028,110.6
20221029,170.6
20221030,179.6
20221031,103.8
20221101,85.6
20221102,74.9
20221103,81.9
20221104,108.4
20221105,165.2
20221106,154.2
20221107,99.9
20221108,87.8
