기준연월,방문비율
20220811,148.3
20220812,152.0
20220813,194.7
20220814,141.0
20220815,139.6
20220816,144.9
20220817,100.2
20220818,125.4
20220819,134.0
20220820,166.1
20220821,146.3
20220822,195.4
20220823,122.7
20220824,110.5
20220825,131.5
20220826,143.4
20220827,169.7
20220828,166.6
20220829,199.5
20220830,139.3
20220831,128.2
20220901,172.7
20220902,147.3
20220903,152.5
20220904,156.9
20220905,158.8
20220906,117.6
20220907,102.9
20220908,126.1
20220909,170.1
20220910,167.6
20220911,164.1
20220912,198.2
20220913,96.6
20220914,94.0
20220915,123.2
20220916,120.5
20220917,94.7
20220918,101.2
20220919,140.3
20220920,74.8
20220921,68.5
20220922,113.3
20220923,112.2
20220924,121.9
20220925,127.4
20220926,167.8
20220927,111.2
20220928,102.2
20220929,123.8
20220930,135.0
20221001,162.6
20221002,157.3
20221003,218.8
20221004,122.2
20221005,122.8
20221006,140.9
20221007,130.2
20221008,146.4
20221009,173.4
20221010,200.2
20221011,106.3
20221012,97.3
20221013,125.4
20221014,126.1
20221015,129.8
20221016,120.4
20221017,140.3
20221018,76.1
20221019,71.5
20221020,87.4
20221021,89.6
20221022,120.1
20221023,121.7
20221024,158.0
20221025,98.6
20221026,97.9
20221027,124.2
20221028,130.1
20221029,130.0
20221030,139.0
20221031,175.2
20221101,171.4
20221102,119.8
20221103,137.7
20221104,142.0
20221105,143.7
20221106,152.9
20221107,163.8
20221108,104.2
