기준연월,방문비율
20220811,34.8
20220812,21.1
20220813,2.1
20220814,104.0
20220815,68.3
20220816,12.9
20220817,18.1
20220818,12.7
20220819,7.7
20220820,3.0
20220821,0.1
20220822,5.2
20220823,17.9
20220824,21.5
20220825,9.3
20220826,5.5
20220827,13.2
20220828,17.1
20220829,15.6
20220830,26.1
20220831,34.4
20220901,64.5
20220902,56.5
20220903,74.4
20220904,61.3
20220905,70.7
20220906,61.3
20220907,73.0
20220908,72.8
20220909,135.4
20220910,120.5
20220911,99.6
20220912,148.0
20220913,69.8
20220914,72.2
20220915,79.1
20220916,63.6
20220917,69.3
20220918,89.1
20220919,77.4
20220920,76.7
20220921,82.8
20220922,78.8
20220923,68.6
20220924,73.6
20220925,85.4
20220926,74.9
20220927,67.9
20220928,78.9
20220929,74.4
20220930,68.1
20221001,89.2
20221002,104.4
20221003,138.9
20221004,59.1
20221005,69.1
20221006,74.0
20221007,73.4
20221008,110.2
20221009,111.0
20221010,137.3
20221011,73.8
20221012,78.9
20221013,76.9
20221014,72.5
20221015,107.4
20221016,112.7
20221017,75.8
20221018,74.4
20221019,82.2
20221020,79.5
20221021,72.2
20221022,110.6
20221023,138.1
20221024,87.0
20221025,81.2
20221026,86.3
20221027,85.4
20221028,75.0
20221029,112.2
20221030,122.3
20221031,86.2
20221101,60.4
20221102,69.9
20221103,66.1
20221104,66.7
20221105,111.3
20221106,115.8
20221107,72.0
20221108,65.8
