기준연월,방문비율
20220811,193.4
20220812,180.4
20220813,213.6
20220814,195.4
20220815,185.1
20220816,173.8
20220817,183.9
20220818,179.6
20220819,166.5
20220820,191.5
20220821,173.5
20220822,171.6
20220823,172.7
20220824,176.9
20220825,179.7
20220826,180.7
20220827,234.9
20220828,228.9
20220829,177.4
20220830,181.4
20220831,168.4
20220901,134.8
20220902,154.6
20220903,199.0
20220904,175.4
20220905,140.5
20220906,121.1
20220907,126.1
20220908,126.2
20220909,182.8
20220910,208.9
20220911,191.5
20220912,184.2
20220913,132.4
20220914,140.4
20220915,133.7
20220916,148.6
20220917,189.3
20220918,186.1
20220919,139.0
20220920,140.7
20220921,145.0
20220922,139.1
20220923,158.3
20220924,204.4
20220925,202.1
20220926,150.6
20220927,155.5
20220928,160.4
20220929,153.6
20220930,183.6
20221001,202.9
20221002,195.3
20221003,177.4
20221004,128.2
20221005,134.8
20221006,133.0
20221007,143.7
20221008,182.2
20221009,201.0
20221010,182.9
20221011,132.6
20221012,144.6
20221013,140.2
20221014,147.9
20221015,199.8
20221016,184.4
20221017,136.4
20221018,134.1
20221019,143.0
20221020,135.9
20221021,146.3
20221022,205.0
20221023,201.3
20221024,144.6
20221025,148.9
20221026,147.8
20221027,148.1
20221028,188.3
20221029,238.7
20221030,228.5
20221031,151.9
20221101,139.3
20221102,140.0
20221103,134.1
20221104,152.8
20221105,207.3
20221106,189.7
20221107,136.3
20221108,115.9
