기준연월,방문비율
20220817,111.6
20220818,116.0
20220819,153.1
20220820,211.7
20220821,213.9
20220822,140.8
20220823,110.3
20220824,137.6
20220825,142.6
20220826,159.4
20220827,247.8
20220828,238.3
20220829,127.3
20220830,122.4
20220831,139.7
20220901,122.4
20220902,130.4
20220903,228.5
20220904,185.5
20220905,93.3
20220906,89.6
20220907,107.6
20220908,115.6
20220909,228.8
20220910,264.7
20220911,222.3
20220912,187.2
20220913,83.3
20220914,101.0
20220915,108.1
20220916,119.8
20220917,236.6
20220918,200.8
20220919,100.5
20220920,95.6
20220921,108.9
20220922,106.0
20220923,125.2
20220924,204.6
20220925,210.1
20220926,103.0
20220927,127.6
20220928,120.1
20220929,120.2
20220930,133.0
20221001,205.1
20221002,196.3
20221003,186.9
20221004,117.2
20221005,112.0
20221006,112.2
20221007,116.4
20221008,208.7
20221009,223.0
20221010,180.6
20221011,113.9
20221012,102.7
20221013,101.3
20221014,106.3
20221015,202.1
20221016,195.4
20221017,94.6
20221018,113.0
20221019,106.4
20221020,93.8
20221021,107.0
20221022,206.3
20221023,208.7
20221024,127.5
20221025,108.5
20221026,114.2
20221027,100.9
20221028,121.9
20221029,220.7
20221030,219.1
20221031,126.9
20221101,121.5
20221102,99.9
20221103,93.0
20221104,113.0
20221105,207.3
20221106,199.2
20221107,120.3
20221108,116.9
20221109,97.7
20221110,89.6
20221111,115.3
20221112,212.0
20221113,193.9
20221114,124.2
