기준연월,방문비율
20220811,150.4
20220812,171.7
20220813,173.8
20220814,117.2
20220815,136.2
20220816,153.9
20220817,153.1
20220818,157.2
20220819,176.2
20220820,176.9
20220821,131.9
20220822,158.9
20220823,149.6
20220824,148.9
20220825,158.3
20220826,178.9
20220827,178.0
20220828,134.9
20220829,159.1
20220830,160.0
20220831,158.3
20220901,162.5
20220902,193.7
20220903,186.1
20220904,143.6
20220905,170.7
20220906,159.9
20220907,158.5
20220908,170.9
20220909,153.0
20220910,155.7
20220911,142.6
20220912,145.4
20220913,169.1
20220914,162.1
20220915,169.7
20220916,198.9
20220917,193.8
20220918,144.8
20220919,167.7
20220920,164.3
20220921,163.0
20220922,170.3
20220923,192.4
20220924,193.9
20220925,146.3
20220926,169.3
20220927,166.8
20220928,166.4
20220929,174.9
20220930,193.5
20221001,192.7
20221002,141.3
20221003,128.1
20221004,162.9
20221005,173.3
20221006,168.6
20221007,193.7
20221008,198.2
20221009,138.4
20221010,136.0
20221011,170.7
20221012,174.6
20221013,184.0
20221014,204.0
20221015,197.8
20221016,142.0
20221017,170.9
20221018,175.2
20221019,177.0
20221020,183.4
20221021,205.1
20221022,200.7
20221023,149.4
20221024,173.1
20221025,178.5
20221026,180.0
20221027,187.1
20221028,206.2
20221029,201.1
20221030,160.4
20221031,173.8
20221101,163.3
20221102,163.0
20221103,169.7
20221104,192.9
20221105,199.2
20221106,150.1
20221107,168.0
20221108,167.3
