기준연월,방문비율
20220811,105.7
20220812,105.4
20220813,266.0
20220814,257.1
20220815,310.6
20220816,189.6
20220817,197.0
20220818,195.0
20220819,194.8
20220820,318.0
20220821,310.5
20220822,208.5
20220823,205.4
20220824,203.8
20220825,215.3
20220826,207.3
20220827,318.4
20220828,310.7
20220829,212.6
20220830,208.0
20220831,202.6
20220901,173.2
20220902,167.4
20220903,364.8
20220904,351.8
20220905,187.7
20220906,149.6
20220907,143.0
20220908,156.3
20220909,305.9
20220910,338.0
20220911,322.1
20220912,328.0
20220913,121.5
20220914,141.6
20220915,190.5
20220916,190.1
20220917,348.1
20220918,362.8
20220919,200.5
20220920,201.6
20220921,197.8
20220922,210.0
20220923,204.1
20220924,352.7
20220925,344.0
20220926,212.6
20220927,208.1
20220928,202.9
20220929,212.5
20220930,204.9
20221001,364.1
20221002,351.7
20221003,362.1
20221004,156.9
20221005,151.8
20221006,170.5
20221007,165.4
20221008,337.7
20221009,338.6
20221010,344.9
20221011,120.5
20221012,116.3
20221013,133.0
20221014,144.0
20221015,345.6
20221016,340.5
20221017,193.5
20221018,187.0
20221019,188.3
20221020,206.5
20221021,200.3
20221022,352.5
20221023,365.3
20221024,209.8
20221025,208.0
20221026,202.6
20221027,212.5
20221028,205.1
20221029,352.7
20221030,344.0
20221031,212.9
20221101,155.9
20221102,151.6
20221103,173.3
20221104,167.4
20221105,364.9
20221106,350.2
20221107,194.3
20221108,140.5
