기준연월,방문비율
20220811,64.2
20220812,87.2
20220813,111.6
20220814,68.3
20220815,70.8
20220816,59.5
20220817,63.9
20220818,66.4
20220819,92.7
20220820,122.0
20220821,105.4
20220822,63.6
20220823,52.3
20220824,54.0
20220825,50.4
20220826,76.4
20220827,101.4
20220828,94.4
20220829,44.7
20220830,53.0
20220831,55.7
20220901,36.9
20220902,58.8
20220903,44.8
20220904,44.7
20220905,38.2
20220906,32.0
20220907,25.9
20220908,31.0
20220909,15.9
20220910,19.2
20220911,21.7
20220912,0.1
20220913,22.8
20220914,35.7
20220915,37.5
20220916,41.4
20220917,45.7
20220918,44.2
20220919,32.4
20220920,40.2
20220921,35.0
20220922,43.1
20220923,38.3
20220924,49.0
20220925,46.1
20220926,12.1
20220927,18.1
20220928,24.7
20220929,32.7
20220930,42.4
20221001,49.2
20221002,54.6
20221003,24.3
20221004,36.4
20221005,36.2
20221006,29.4
20221007,31.5
20221008,52.7
20221009,26.8
20221010,18.8
20221011,29.5
20221012,30.3
20221013,27.0
20221014,45.2
20221015,58.0
20221016,44.0
20221017,11.7
20221018,18.9
20221019,23.0
20221020,26.8
20221021,34.5
20221022,59.2
20221023,67.5
20221024,32.8
20221025,43.1
20221026,50.7
20221027,51.0
20221028,45.7
20221029,57.6
20221030,59.7
20221031,29.4
20221101,37.7
20221102,46.4
20221103,48.4
20221104,54.2
20221105,79.3
20221106,81.1
20221107,29.3
20221108,41.5
