기준연월,방문비율
20220811,65.2
20220812,107.3
20220813,155.5
20220814,129.7
20220815,168.8
20220816,102.2
20220817,89.5
20220818,114.0
20220819,135.3
20220820,178.7
20220821,121.7
20220822,106.4
20220823,93.7
20220824,88.1
20220825,100.7
20220826,117.8
20220827,189.1
20220828,150.3
20220829,101.8
20220830,97.7
20220831,99.8
20220901,137.3
20220902,174.4
20220903,300.2
20220904,257.9
20220905,107.4
20220906,99.7
20220907,98.4
20220908,127.2
20220909,322.2
20220910,339.9
20220911,312.6
20220912,279.1
20220913,107.2
20220914,108.7
20220915,126.9
20220916,157.1
20220917,308.0
20220918,255.6
20220919,126.9
20220920,125.2
20220921,120.4
20220922,122.4
20220923,159.3
20220924,297.6
20220925,267.0
20220926,124.3
20220927,128.9
20220928,133.7
20220929,133.3
20220930,165.3
20221001,268.0
20221002,209.5
20221003,208.0
20221004,92.6
20221005,104.6
20221006,103.6
20221007,127.4
20221008,252.2
20221009,270.1
20221010,243.3
20221011,85.6
20221012,93.0
20221013,90.0
20221014,117.3
20221015,250.5
20221016,183.8
20221017,98.8
20221018,94.8
20221019,96.7
20221020,99.2
20221021,121.6
20221022,249.3
20221023,182.2
20221024,101.6
20221025,94.5
20221026,90.7
20221027,108.2
20221028,137.1
20221029,257.6
20221030,210.1
20221031,121.3
20221101,71.7
20221102,86.3
20221103,95.2
20221104,113.2
20221105,248.3
20221106,178.4
20221107,73.2
20221108,65.0
