기준연월,방문비율
20220811,118.5
20220812,150.4
20220813,161.6
20220814,92.3
20220815,136.3
20220816,128.0
20220817,125.9
20220818,132.1
20220819,166.0
20220820,170.0
20220821,139.8
20220822,127.3
20220823,126.5
20220824,124.9
20220825,132.6
20220826,171.7
20220827,174.5
20220828,138.3
20220829,124.9
20220830,131.7
20220831,128.2
20220901,117.1
20220902,150.6
20220903,154.8
20220904,127.0
20220905,113.2
20220906,105.2
20220907,99.5
20220908,116.2
20220909,162.6
20220910,164.3
20220911,122.9
20220912,141.9
20220913,111.0
20220914,110.7
20220915,120.8
20220916,150.7
20220917,150.6
20220918,131.7
20220919,112.0
20220920,111.8
20220921,111.2
20220922,123.2
20220923,150.5
20220924,149.3
20220925,102.3
20220926,112.3
20220927,115.5
20220928,111.3
20220929,125.8
20220930,157.4
20221001,160.7
20221002,138.6
20221003,126.2
20221004,116.9
20221005,111.8
20221006,128.8
20221007,162.1
20221008,166.4
20221009,113.7
20221010,131.8
20221011,120.2
20221012,113.7
20221013,129.9
20221014,165.9
20221015,173.7
20221016,146.7
20221017,121.8
20221018,121.3
20221019,116.8
20221020,132.1
20221021,166.6
20221022,175.4
20221023,126.6
20221024,120.9
20221025,124.3
20221026,131.5
20221027,148.7
20221028,178.4
20221029,187.3
20221030,159.9
20221031,135.8
20221101,122.3
20221102,119.8
20221103,128.7
20221104,163.0
20221105,167.1
20221106,150.0
20221107,124.7
20221108,126.3
