기준연월,방문비율
20220811,87.5
20220812,87.0
20220813,117.0
20220814,134.4
20220815,81.0
20220816,91.4
20220817,91.3
20220818,83.0
20220819,82.6
20220820,105.8
20220821,107.0
20220822,47.0
20220823,93.7
20220824,90.0
20220825,87.7
20220826,88.1
20220827,117.0
20220828,116.7
20220829,49.6
20220830,103.5
20220831,109.1
20220901,76.8
20220902,90.3
20220903,94.3
20220904,87.4
20220905,45.3
20220906,84.4
20220907,77.6
20220908,69.5
20220909,94.1
20220910,109.2
20220911,107.5
20220912,73.2
20220913,79.7
20220914,81.6
20220915,75.4
20220916,74.4
20220917,96.1
20220918,95.9
20220919,41.5
20220920,82.4
20220921,77.6
20220922,74.2
20220923,73.8
20220924,100.9
20220925,113.5
20220926,48.3
20220927,91.4
20220928,88.7
20220929,88.3
20220930,84.0
20221001,112.4
20221002,108.8
20221003,79.5
20221004,88.7
20221005,88.1
20221006,83.2
20221007,88.4
20221008,94.5
20221009,131.9
20221010,75.2
20221011,81.1
20221012,80.0
20221013,75.3
20221014,79.1
20221015,114.2
20221016,115.8
20221017,42.0
20221018,78.7
20221019,78.3
20221020,78.5
20221021,81.0
20221022,113.0
20221023,118.2
20221024,41.8
20221025,90.6
20221026,89.3
20221027,84.6
20221028,88.3
20221029,122.0
20221030,119.5
20221031,57.9
20221101,81.2
20221102,89.4
20221103,85.5
20221104,88.9
20221105,112.8
20221106,106.5
20221107,42.7
20221108,79.4
