기준연월,방문비율
20220811,90.1
20220812,104.9
20220813,193.8
20220814,176.5
20220815,143.6
20220816,91.9
20220817,92.6
20220818,90.3
20220819,102.8
20220820,182.5
20220821,182.3
20220822,107.2
20220823,96.6
20220824,111.9
20220825,110.1
20220826,113.2
20220827,207.6
20220828,199.7
20220829,116.6
20220830,109.2
20220831,103.9
20220901,104.4
20220902,104.5
20220903,146.3
20220904,151.4
20220905,107.4
20220906,97.7
20220907,89.6
20220908,84.1
20220909,165.6
20220910,181.3
20220911,166.0
20220912,150.7
20220913,75.0
20220914,76.6
20220915,75.8
20220916,83.7
20220917,156.7
20220918,164.1
20220919,91.7
20220920,89.5
20220921,91.0
20220922,85.4
20220923,93.2
20220924,160.4
20220925,158.6
20220926,96.4
20220927,87.4
20220928,95.7
20220929,93.1
20220930,106.1
20221001,176.1
20221002,174.3
20221003,137.8
20221004,97.8
20221005,99.2
20221006,105.6
20221007,101.8
20221008,175.6
20221009,168.8
20221010,134.5
20221011,80.1
20221012,80.5
20221013,75.7
20221014,84.3
20221015,165.1
20221016,167.7
20221017,89.3
20221018,76.8
20221019,79.7
20221020,80.7
20221021,88.4
20221022,173.1
20221023,169.7
20221024,97.8
20221025,87.8
20221026,87.1
20221027,87.3
20221028,104.8
20221029,189.0
20221030,192.1
20221031,92.5
20221101,99.8
20221102,92.1
20221103,98.4
20221104,104.0
20221105,172.0
20221106,172.3
20221107,97.6
20221108,84.0
