기준연월,방문비율
20220811,26.4
20220812,28.7
20220813,52.4
20220814,89.7
20220815,69.6
20220816,15.6
20220817,18.8
20220818,17.6
20220819,12.7
20220820,31.6
20220821,21.2
20220822,16.3
20220823,15.6
20220824,18.8
20220825,13.1
20220826,10.2
20220827,38.9
20220828,25.8
20220829,22.4
20220830,13.3
20220831,23.5
20220901,10.2
20220902,14.7
20220903,31.0
20220904,36.8
20220905,27.4
20220906,21.5
20220907,25.8
20220908,22.8
20220909,77.5
20220910,85.9
20220911,81.6
20220912,62.4
20220913,28.0
20220914,32.1
20220915,29.8
20220916,33.0
20220917,56.1
20220918,39.8
20220919,31.6
20220920,38.9
20220921,45.4
20220922,42.0
20220923,33.5
20220924,49.5
20220925,37.7
20220926,38.2
20220927,31.9
20220928,39.8
20220929,33.5
20220930,30.1
20221001,33.9
20221002,47.5
20221003,49.1
20221004,13.1
20221005,24.2
20221006,22.6
20221007,21.5
20221008,47.9
20221009,85.0
20221010,65.8
20221011,26.7
20221012,36.8
20221013,28.7
20221014,28.7
20221015,56.5
20221016,46.1
20221017,27.6
20221018,34.8
20221019,43.6
20221020,40.9
20221021,32.8
20221022,52.7
20221023,40.0
20221024,35.0
20221025,25.5
20221026,31.9
20221027,30.3
20221028,31.4
20221029,49.5
20221030,38.4
20221031,34.4
20221101,7.2
20221102,12.7
20221103,8.8
20221104,10.2
20221105,37.5
20221106,47.9
20221107,20.6
20221108,23.3
