기준연월,방문비율
20220811,129.3
20220812,139.9
20220813,253.0
20220814,189.2
20220815,254.4
20220816,125.3
20220817,124.6
20220818,134.2
20220819,146.0
20220820,255.5
20220821,223.3
20220822,113.9
20220823,123.8
20220824,123.6
20220825,144.1
20220826,157.2
20220827,268.7
20220828,240.1
20220829,135.4
20220830,150.6
20220831,145.2
20220901,131.1
20220902,153.0
20220903,265.4
20220904,228.1
20220905,113.5
20220906,121.0
20220907,99.3
20220908,116.5
20220909,270.4
20220910,271.0
20220911,259.6
20220912,262.1
20220913,110.0
20220914,112.4
20220915,124.5
20220916,139.2
20220917,263.1
20220918,243.3
20220919,116.6
20220920,124.9
20220921,117.8
20220922,123.9
20220923,138.5
20220924,259.4
20220925,242.7
20220926,124.1
20220927,135.2
20220928,128.4
20220929,143.2
20220930,161.0
20221001,272.6
20221002,240.2
20221003,271.1
20221004,124.7
20221005,120.4
20221006,133.5
20221007,137.1
20221008,256.3
20221009,260.9
20221010,262.2
20221011,115.5
20221012,110.9
20221013,123.4
20221014,142.9
20221015,267.4
20221016,236.5
20221017,116.2
20221018,132.0
20221019,126.3
20221020,138.5
20221021,146.8
20221022,267.2
20221023,243.2
20221024,123.9
20221025,149.6
20221026,138.9
20221027,151.0
20221028,167.2
20221029,292.3
20221030,264.3
20221031,147.6
20221101,132.3
20221102,128.2
20221103,144.0
20221104,164.5
20221105,284.0
20221106,249.6
20221107,104.0
20221108,117.1
