기준연월,방문비율
20220811,58.1
20220812,52.1
20220813,52.0
20220814,52.8
20220815,48.3
20220816,46.0
20220817,50.1
20220818,42.2
20220819,42.5
20220820,43.4
20220821,37.7
20220822,38.8
20220823,48.0
20220824,47.9
20220825,41.3
20220826,41.8
20220827,48.4
20220828,40.6
20220829,39.9
20220830,48.0
20220831,47.4
20220901,38.7
20220902,38.9
20220903,46.3
20220904,41.7
20220905,31.7
20220906,39.2
20220907,41.5
20220908,43.8
20220909,60.1
20220910,70.1
20220911,60.8
20220912,62.2
20220913,48.4
20220914,52.8
20220915,50.6
20220916,50.2
20220917,57.7
20220918,47.6
20220919,41.5
20220920,47.5
20220921,48.5
20220922,47.7
20220923,44.3
20220924,52.9
20220925,47.2
20220926,43.1
20220927,49.7
20220928,48.9
20220929,47.9
20220930,48.1
20221001,44.0
20221002,38.6
20221003,54.0
20221004,37.9
20221005,39.4
20221006,39.8
20221007,40.3
20221008,49.4
20221009,54.8
20221010,63.0
20221011,49.4
20221012,48.6
20221013,46.0
20221014,46.2
20221015,51.0
20221016,39.2
20221017,33.5
20221018,41.9
20221019,45.3
20221020,42.6
20221021,42.3
20221022,42.9
20221023,36.7
20221024,37.0
20221025,44.7
20221026,43.6
20221027,42.5
20221028,42.6
20221029,45.1
20221030,39.0
20221031,36.3
20221101,37.9
20221102,38.9
20221103,37.5
20221104,40.3
20221105,45.4
20221106,38.2
20221107,30.2
20221108,38.6
