기준연월,방문비율
20220811,129.6
20220812,133.6
20220813,214.1
20220814,167.1
20220815,192.7
20220816,117.3
20220817,121.6
20220818,118.4
20220819,135.5
20220820,216.6
20220821,204.1
20220822,121.6
20220823,122.8
20220824,128.5
20220825,123.9
20220826,138.5
20220827,235.3
20220828,231.9
20220829,134.5
20220830,136.6
20220831,139.6
20220901,118.0
20220902,149.7
20220903,209.5
20220904,192.9
20220905,99.5
20220906,95.7
20220907,106.7
20220908,104.6
20220909,247.3
20220910,283.8
20220911,281.9
20220912,249.0
20220913,105.5
20220914,113.5
20220915,110.6
20220916,123.2
20220917,215.6
20220918,211.6
20220919,112.4
20220920,135.7
20220921,120.1
20220922,121.1
20220923,126.9
20220924,224.5
20220925,206.5
20220926,128.8
20220927,131.7
20220928,124.1
20220929,132.1
20220930,136.0
20221001,224.5
20221002,202.5
20221003,235.7
20221004,96.2
20221005,110.3
20221006,101.2
20221007,118.8
20221008,215.8
20221009,277.0
20221010,239.7
20221011,95.5
20221012,109.7
20221013,104.0
20221014,121.8
20221015,215.0
20221016,196.3
20221017,99.1
20221018,100.2
20221019,105.3
20221020,106.5
20221021,120.9
20221022,207.7
20221023,197.0
20221024,124.3
20221025,121.8
20221026,115.0
20221027,113.7
20221028,126.4
20221029,228.7
20221030,224.3
20221031,128.5
20221101,95.5
20221102,94.7
20221103,89.2
20221104,109.3
20221105,183.0
20221106,170.5
20221107,79.6
20221108,83.2
