기준연월,방문비율
20220811,152.1
20220812,174.2
20220813,218.3
20220814,110.3
20220815,150.5
20220816,135.0
20220817,143.9
20220818,140.6
20220819,160.6
20220820,203.2
20220821,152.5
20220822,135.3
20220823,134.6
20220824,141.8
20220825,139.4
20220826,165.9
20220827,202.9
20220828,146.1
20220829,130.7
20220830,136.7
20220831,143.9
20220901,114.2
20220902,131.1
20220903,176.7
20220904,143.0
20220905,103.1
20220906,107.8
20220907,111.6
20220908,122.4
20220909,168.5
20220910,190.4
20220911,150.1
20220912,177.8
20220913,116.4
20220914,119.7
20220915,113.6
20220916,136.2
20220917,174.4
20220918,140.0
20220919,102.9
20220920,106.2
20220921,107.0
20220922,105.3
20220923,128.3
20220924,179.4
20220925,136.9
20220926,101.8
20220927,107.2
20220928,108.8
20220929,110.9
20220930,131.8
20221001,178.2
20221002,136.7
20221003,113.3
20221004,103.5
20221005,108.8
20221006,120.0
20221007,138.3
20221008,188.6
20221009,119.0
20221010,174.1
20221011,117.2
20221012,120.5
20221013,126.5
20221014,141.5
20221015,174.4
20221016,140.1
20221017,100.4
20221018,104.8
20221019,109.3
20221020,115.5
20221021,128.7
20221022,174.8
20221023,137.0
20221024,116.5
20221025,103.7
20221026,110.2
20221027,112.4
20221028,132.2
20221029,173.0
20221030,133.6
20221031,100.4
20221101,104.9
20221102,100.0
20221103,106.6
20221104,129.6
20221105,173.5
20221106,144.5
20221107,102.6
20221108,112.0
