기준연월,방문비율
20220811,80.0
20220812,94.7
20220813,158.6
20220814,148.2
20220815,104.5
20220816,104.2
20220817,77.2
20220818,80.9
20220819,82.9
20220820,126.3
20220821,128.1
20220822,80.5
20220823,71.2
20220824,76.3
20220825,88.2
20220826,93.6
20220827,165.3
20220828,140.0
20220829,83.1
20220830,78.4
20220831,75.4
20220901,104.3
20220902,110.6
20220903,194.7
20220904,205.3
20220905,84.1
20220906,76.8
20220907,63.9
20220908,100.7
20220909,191.3
20220910,196.3
20220911,206.8
20220912,163.8
20220913,102.0
20220914,107.0
20220915,121.1
20220916,127.9
20220917,224.5
20220918,213.3
20220919,84.6
20220920,91.6
20220921,89.8
20220922,98.0
20220923,107.6
20220924,207.2
20220925,220.8
20220926,89.5
20220927,96.4
20220928,95.4
20220929,109.4
20220930,116.3
20221001,206.9
20221002,250.9
20221003,166.5
20221004,84.1
20221005,80.8
20221006,97.4
20221007,103.9
20221008,225.5
20221009,234.8
20221010,166.3
20221011,106.2
20221012,103.0
20221013,119.7
20221014,128.6
20221015,229.7
20221016,216.4
20221017,83.3
20221018,86.2
20221019,85.4
20221020,96.6
20221021,104.2
20221022,212.4
20221023,216.4
20221024,95.9
20221025,99.9
20221026,98.8
20221027,109.4
20221028,117.7
20221029,244.4
20221030,257.0
20221031,119.8
20221101,99.4
20221102,102.3
20221103,121.1
20221104,132.3
20221105,271.8
20221106,293.2
20221107,101.1
20221108,99.5
