기준연월,방문비율
20220811,74.7
20220812,92.9
20220813,100.5
20220814,87.8
20220815,87.9
20220816,84.9
20220817,81.2
20220818,90.5
20220819,101.0
20220820,104.9
20220821,91.5
20220822,95.9
20220823,94.3
20220824,96.2
20220825,100.6
20220826,104.8
20220827,108.2
20220828,95.6
20220829,99.9
20220830,94.5
20220831,95.7
20220901,98.2
20220902,106.9
20220903,104.3
20220904,83.7
20220905,93.7
20220906,93.7
20220907,91.4
20220908,95.6
20220909,124.7
20220910,113.5
20220911,103.1
20220912,118.9
20220913,105.8
20220914,104.9
20220915,105.1
20220916,119.7
20220917,118.5
20220918,99.9
20220919,112.6
20220920,119.4
20220921,116.9
20220922,111.1
20220923,117.1
20220924,117.4
20220925,99.6
20220926,112.9
20220927,115.0
20220928,115.1
20220929,113.7
20220930,117.3
20221001,109.7
20221002,88.4
20221003,93.6
20221004,91.5
20221005,91.1
20221006,91.2
20221007,101.2
20221008,107.9
20221009,88.9
20221010,95.4
20221011,96.4
20221012,95.2
20221013,97.0
20221014,109.4
20221015,114.7
20221016,93.5
20221017,97.0
20221018,108.1
20221019,108.0
20221020,110.1
20221021,115.6
20221022,115.8
20221023,100.3
20221024,106.3
20221025,109.6
20221026,109.7
20221027,109.2
20221028,112.7
20221029,115.7
20221030,102.5
20221031,113.3
20221101,97.0
20221102,94.2
20221103,93.7
20221104,102.0
20221105,109.5
20221106,87.6
20221107,89.9
20221108,92.0
