기준연월,방문비율
20220811,90.5
20220812,104.7
20220813,200.5
20220814,175.2
20220815,177.4
20220816,87.6
20220817,87.0
20220818,90.3
20220819,102.2
20220820,187.9
20220821,159.5
20220822,85.5
20220823,83.1
20220824,82.2
20220825,86.2
20220826,97.8
20220827,193.5
20220828,174.5
20220829,87.2
20220830,88.3
20220831,92.7
20220901,77.9
20220902,95.7
20220903,186.9
20220904,164.5
20220905,69.6
20220906,65.5
20220907,60.1
20220908,67.6
20220909,211.4
20220910,248.0
20220911,229.3
20220912,194.5
20220913,64.0
20220914,67.3
20220915,73.3
20220916,82.3
20220917,180.5
20220918,166.9
20220919,69.0
20220920,71.6
20220921,69.9
20220922,71.9
20220923,81.0
20220924,175.9
20220925,160.5
20220926,69.3
20220927,71.5
20220928,70.2
20220929,71.8
20220930,79.8
20221001,181.4
20221002,164.3
20221003,188.9
20221004,58.2
20221005,63.0
20221006,71.5
20221007,79.8
20221008,176.9
20221009,222.4
20221010,186.9
20221011,58.0
20221012,58.2
20221013,64.8
20221014,79.5
20221015,175.9
20221016,147.6
20221017,58.7
20221018,60.8
20221019,62.1
20221020,68.0
20221021,77.5
20221022,167.1
20221023,147.3
20221024,65.4
20221025,65.7
20221026,65.7
20221027,68.9
20221028,82.2
20221029,174.2
20221030,157.3
20221031,70.6
20221101,66.1
20221102,61.7
20221103,61.3
20221104,79.2
20221105,163.4
20221106,135.5
20221107,58.8
20221108,56.0
