기준연월,방문비율
20220817,91.5
20220818,91.5
20220819,105.3
20220820,135.7
20220821,159.3
20220822,93.0
20220823,103.3
20220824,96.6
20220825,88.4
20220826,97.6
20220827,161.4
20220828,162.9
20220829,98.7
20220830,122.3
20220831,107.9
20220901,148.5
20220902,135.7
20220903,163.4
20220904,168.0
20220905,86.3
20220906,104.3
20220907,102.3
20220908,95.1
20220909,309.4
20220910,319.1
20220911,330.4
20220912,367.4
20220913,118.2
20220914,111.0
20220915,102.8
20220916,129.0
20220917,179.9
20220918,187.6
20220919,113.1
20220920,141.3
20220921,135.7
20220922,114.6
20220923,116.1
20220924,177.8
20220925,176.3
20220926,111.5
20220927,131.6
20220928,118.2
20220929,115.1
20220930,119.2
20221001,204.0
20221002,191.7
20221003,216.9
20221004,104.8
20221005,93.0
20221006,91.5
20221007,110.0
20221008,162.9
20221009,225.1
20221010,228.2
20221011,101.2
20221012,97.1
20221013,97.6
20221014,119.7
20221015,165.5
20221016,166.5
20221017,81.7
20221018,104.8
20221019,101.7
20221020,102.8
20221021,111.0
20221022,159.3
20221023,160.3
20221024,94.6
20221025,100.2
20221026,102.3
20221027,102.3
20221028,110.5
20221029,170.6
20221030,172.1
20221031,93.0
20221101,151.1
20221102,115.1
20221103,92.0
20221104,106.9
20221105,159.3
20221106,158.8
20221107,77.6
20221108,98.2
20221109,95.1
20221110,91.5
20221111,113.1
20221112,165.0
20221113,168.0
20221114,77.6
