기준연월,방문비율
20220811,145.9
20220812,139.7
20220813,178.1
20220814,163.1
20220815,182.0
20220816,118.7
20220817,156.1
20220818,110.4
20220819,107.4
20220820,129.4
20220821,122.4
20220822,65.8
20220823,91.7
20220824,95.9
20220825,88.0
20220826,101.6
20220827,144.5
20220828,143.4
20220829,76.3
20220830,86.1
20220831,18.6
20220901,33.0
20220902,39.8
20220903,111.4
20220904,137.0
20220905,64.3
20220906,60.5
20220907,80.2
20220908,59.1
20220909,169.1
20220910,227.1
20220911,179.4
20220912,152.4
20220913,64.3
20220914,65.2
20220915,66.6
20220916,71.2
20220917,124.8
20220918,154.6
20220919,70.3
20220920,87.5
20220921,95.6
20220922,70.2
20220923,89.6
20220924,134.2
20220925,135.1
20220926,60.9
20220927,76.1
20220928,100.6
20220929,67.5
20220930,80.9
20221001,122.6
20221002,183.2
20221003,145.3
20221004,35.1
20221005,68.4
20221006,57.2
20221007,79.3
20221008,154.8
20221009,186.1
20221010,156.4
20221011,76.7
20221012,93.4
20221013,66.6
20221014,79.5
20221015,145.7
20221016,148.2
20221017,60.1
20221018,81.9
20221019,101.5
20221020,77.1
20221021,78.4
20221022,130.2
20221023,133.8
20221024,68.6
20221025,84.7
20221026,93.5
20221027,73.1
20221028,82.6
20221029,123.7
20221030,187.8
20221031,125.4
20221101,38.8
20221102,48.5
20221103,41.4
20221104,79.3
20221105,125.9
20221106,136.7
20221107,51.8
20221108,47.4
