기준연월,방문비율
20220811,73.9
20220812,92.9
20220813,145.8
20220814,141.3
20220815,157.8
20220816,83.4
20220817,78.0
20220818,86.6
20220819,95.4
20220820,132.3
20220821,105.9
20220822,57.5
20220823,49.9
20220824,39.6
20220825,53.0
20220826,69.0
20220827,124.0
20220828,108.1
20220829,59.3
20220830,56.0
20220831,59.6
20220901,42.6
20220902,57.4
20220903,68.3
20220904,65.2
20220905,46.5
20220906,32.9
20220907,27.2
20220908,37.4
20220909,143.3
20220910,142.5
20220911,139.4
20220912,114.8
20220913,45.6
20220914,37.8
20220915,43.7
20220916,52.4
20220917,91.9
20220918,81.1
20220919,54.2
20220920,58.4
20220921,39.4
20220922,45.1
20220923,54.2
20220924,90.8
20220925,71.2
20220926,51.4
20220927,48.7
20220928,39.9
20220929,47.6
20220930,63.9
20221001,113.6
20221002,103.5
20221003,94.8
20221004,34.7
20221005,34.1
20221006,41.5
20221007,61.7
20221008,121.4
20221009,125.3
20221010,89.5
20221011,41.0
20221012,39.2
20221013,46.7
20221014,62.1
20221015,122.2
20221016,91.0
20221017,45.7
20221018,48.9
20221019,46.2
20221020,51.8
20221021,58.4
20221022,111.2
20221023,90.2
20221024,47.2
20221025,47.0
20221026,41.2
20221027,47.5
20221028,63.8
20221029,117.8
20221030,109.2
20221031,59.9
20221101,32.6
20221102,28.6
20221103,35.2
20221104,48.0
20221105,99.1
20221106,86.0
20221107,49.2
20221108,38.0
