기준연월,방문비율
20220811,110.2
20220812,119.2
20220813,166.9
20220814,153.6
20220815,182.0
20220816,118.9
20220817,116.4
20220818,108.7
20220819,116.9
20220820,187.6
20220821,194.6
20220822,54.1
20220823,106.6
20220824,106.9
20220825,104.1
20220826,91.3
20220827,156.1
20220828,179.4
20220829,61.0
20220830,118.2
20220831,111.5
20220901,85.6
20220902,103.1
20220903,121.5
20220904,171.2
20220905,46.1
20220906,75.9
20220907,73.3
20220908,67.7
20220909,261.5
20220910,265.1
20220911,294.5
20220912,204.6
20220913,98.7
20220914,99.5
20220915,101.5
20220916,116.4
20220917,175.1
20220918,214.3
20220919,60.5
20220920,112.0
20220921,101.8
20220922,94.3
20220923,102.5
20220924,192.0
20220925,212.0
20220926,61.0
20220927,106.4
20220928,107.2
20220929,104.8
20220930,104.3
20221001,188.4
20221002,240.7
20221003,196.6
20221004,77.9
20221005,77.7
20221006,77.4
20221007,89.2
20221008,177.6
20221009,326.8
20221010,232.8
20221011,93.8
20221012,98.2
20221013,98.9
20221014,121.5
20221015,207.9
20221016,241.0
20221017,59.7
20221018,108.7
20221019,105.9
20221020,104.6
20221021,107.9
20221022,198.2
20221023,232.8
20221024,66.1
20221025,112.3
20221026,103.8
20221027,98.4
20221028,106.9
20221029,209.4
20221030,239.4
20221031,82.8
20221101,80.7
20221102,70.8
20221103,62.3
20221104,93.8
20221105,187.6
20221106,236.3
20221107,45.6
20221108,83.1
