기준연월,방문비율
20220811,101.5
20220812,108.8
20220813,138.8
20220814,144.3
20220815,141.0
20220816,96.7
20220817,97.3
20220818,95.4
20220819,103.7
20220820,133.8
20220821,117.8
20220822,59.7
20220823,62.8
20220824,61.1
20220825,66.0
20220826,75.4
20220827,129.0
20220828,122.3
20220829,63.2
20220830,70.3
20220831,70.5
20220901,33.7
20220902,61.8
20220903,67.5
20220904,61.4
20220905,32.9
20220906,36.7
20220907,35.0
20220908,38.7
20220909,115.7
20220910,126.6
20220911,115.6
20220912,86.8
20220913,31.2
20220914,32.7
20220915,34.6
20220916,48.0
20220917,76.0
20220918,69.2
20220919,31.7
20220920,44.8
20220921,40.4
20220922,41.6
20220923,53.8
20220924,75.1
20220925,74.4
20220926,42.6
20220927,47.8
20220928,46.0
20220929,45.4
20220930,53.7
20221001,100.9
20221002,101.7
20221003,87.9
20221004,30.6
20221005,37.0
20221006,42.3
20221007,58.3
20221008,108.5
20221009,128.9
20221010,91.8
20221011,36.9
20221012,36.2
20221013,38.3
20221014,54.2
20221015,101.9
20221016,88.8
20221017,32.7
20221018,38.4
20221019,39.6
20221020,41.2
20221021,50.6
20221022,97.4
20221023,94.6
20221024,39.9
20221025,47.9
20221026,44.4
20221027,45.6
20221028,58.4
20221029,106.7
20221030,100.9
20221031,40.8
20221101,29.4
20221102,32.3
20221103,32.1
20221104,51.8
20221105,100.8
20221106,96.9
20221107,34.1
20221108,40.2
