기준연월,방문비율
20220811,132.8
20220812,133.2
20220813,224.2
20220814,291.6
20220815,193.6
20220816,105.9
20220817,118.3
20220818,107.0
20220819,114.1
20220820,177.9
20220821,139.6
20220822,104.3
20220823,98.1
20220824,114.1
20220825,81.0
20220826,106.4
20220827,181.5
20220828,145.9
20220829,102.1
20220830,90.2
20220831,91.5
20220901,59.5
20220902,68.3
20220903,102.2
20220904,110.4
20220905,53.4
20220906,39.9
20220907,58.8
20220908,63.9
20220909,153.1
20220910,161.1
20220911,156.0
20220912,159.5
20220913,56.4
20220914,68.9
20220915,71.5
20220916,67.1
20220917,142.3
20220918,151.6
20220919,82.2
20220920,73.4
20220921,82.5
20220922,76.2
20220923,80.9
20220924,143.6
20220925,124.4
20220926,98.4
20220927,76.5
20220928,87.3
20220929,89.2
20220930,80.0
20221001,124.6
20221002,126.0
20221003,123.4
20221004,36.6
20221005,59.5
20221006,62.3
20221007,62.3
20221008,142.0
20221009,154.4
20221010,150.9
20221011,59.4
20221012,69.6
20221013,59.7
20221014,64.0
20221015,131.6
20221016,123.6
20221017,70.5
20221018,60.8
20221019,72.1
20221020,70.8
20221021,59.5
20221022,122.7
20221023,117.1
20221024,98.8
20221025,54.1
20221026,69.9
20221027,71.9
20221028,66.2
20221029,127.7
20221030,135.3
20221031,73.1
20221101,43.1
20221102,45.6
20221103,44.9
20221104,49.4
20221105,101.8
20221106,110.3
20221107,46.9
20221108,35.2
