기준연월,방문비율
20220811,92.1
20220812,103.2
20220813,139.7
20220814,138.9
20220815,169.0
20220816,92.9
20220817,82.5
20220818,73.0
20220819,85.7
20220820,136.5
20220821,112.7
20220822,66.7
20220823,66.7
20220824,62.7
20220825,50.8
20220826,65.9
20220827,104.0
20220828,100.0
20220829,65.9
20220830,70.6
20220831,71.4
20220901,6.3
20220902,47.6
20220903,63.5
20220904,65.1
20220905,52.4
20220906,15.9
20220907,17.5
20220908,23.0
20220909,123.0
20220910,142.9
20220911,134.9
20220912,131.0
20220913,47.6
20220914,49.2
20220915,45.2
20220916,56.3
20220917,84.9
20220918,97.6
20220919,61.1
20220920,57.1
20220921,56.3
20220922,46.8
20220923,58.7
20220924,86.5
20220925,77.0
20220926,50.8
20220927,46.8
20220928,50.0
20220929,43.7
20220930,52.4
20221001,62.7
20221002,85.7
20221003,95.2
20221004,17.5
20221005,21.4
20221006,20.6
20221007,40.5
20221008,79.4
20221009,139.7
20221010,128.6
20221011,42.1
20221012,40.5
20221013,35.7
20221014,49.2
20221015,87.3
20221016,83.3
20221017,57.1
20221018,53.2
20221019,53.2
20221020,44.4
20221021,52.4
20221022,86.5
20221023,85.7
20221024,54.8
20221025,46.0
20221026,45.2
20221027,37.3
20221028,52.4
20221029,88.9
20221030,89.7
20221031,73.8
20221101,15.9
20221102,18.3
20221103,0.8
20221104,32.5
20221105,57.9
20221106,70.6
20221107,54.8
20221108,27.0
