광역지자체명,기초지자체명,광역지자체별 거주 방문자 비율,기초지자체별 거주 방문자 비율
강원도,원주시,1.1,22.1
강원도,춘천시,1.1,16.7
강원도,정선군,1.1,3.1
강원도,강릉시,1.1,13.1
강원도,평창군,1.1,5.3
강원도,속초시,1.1,5.2
강원도,인제군,1.1,2.5
강원도,횡성군,1.1,3.2
강원도,삼척시,1.1,4.3
강원도,양구군,1.1,1.9
강원도,동해시,1.1,5.1
강원도,영월군,1.1,1.8
강원도,홍천군,1.1,4.5
강원도,태백시,1.1,2.6
강원도,화천군,1.1,1.7
강원도,철원군,1.1,3.0
강원도,양양군,1.1,2.4
강원도,고성군,1.1,1.4
경기도,화성시,13.7,7.2
경기도,부천시,13.7,5.2
경기도,남양주시,13.7,5.3
경기도,평택시,13.7,4.1
경기도,광주시,13.7,4.0
경기도,용인시 기흥구,13.7,3.7
경기도,시흥시,13.7,3.1
경기도,성남시 분당구,13.7,3.8
경기도,하남시,13.7,3.0
경기도,수원시 권선구,13.7,3.0
경기도,김포시,13.7,3.2
경기도,의정부시,13.7,3.0
경기도,용인시 수지구,13.7,2.7
경기도,수원시 장안구,13.7,2.3
경기도,고양시 덕양구,13.7,2.8
경기도,안양시 동안구,13.7,2.3
경기도,안산시 단원구,13.7,2.3
경기도,군포시,13.7,2.0
경기도,용인시 처인구,13.7,2.7
경기도,파주시,13.7,2.5
경기도,수원시 영통구,13.7,2.3
경기도,고양시 일산서구,13.7,1.7
경기도,안산시 상록구,13.7,2.3
경기도,구리시,13.7,1.6
경기도,오산시,13.7,1.9
경기도,성남시 중원구,13.7,1.6
경기도,이천시,13.7,1.9
경기도,고양시 일산동구,13.7,2.1
경기도,성남시 수정구,13.7,1.8
경기도,안양시 만안구,13.7,1.6
경기도,광명시,13.7,1.6
경기도,안성시,13.7,2.0
경기도,양주시,13.7,1.6
경기도,수원시 팔달구,13.7,1.3
경기도,의왕시,13.7,1.0
경기도,양평군,13.7,1.2
경기도,여주시,13.7,1.0
경기도,포천시,13.7,1.1
경기도,과천시,13.7,0.6
경기도,연천군,13.7,0.2
경기도,동두천시,13.7,0.4
경기도,가평군,13.7,0.5
경상남도,통영시,3.7,19.7
경상남도,김해시,3.7,11.4
경상남도,거제시,3.7,9.6
경상남도,진주시,3.7,7.6
경상남도,양산시,3.7,6.8
경상남도,사천시,3.7,6.0
경상남도,창원시 의창구,3.7,5.3
경상남도,창원시 성산구,3.7,4.7
경상남도,창원시 마산회원구,3.7,4.2
경상남도,창원시 마산합포구,3.7,4.2
경상남도,창원시 진해구,3.7,4.2
경상남도,남해군,3.7,2.7
경상남도,창녕군,3.7,1.5
경상남도,밀양시,3.7,2.4
경상남도,하동군,3.7,2.2
경상남도,함안군,3.7,1.6
경상남도,합천군,3.7,0.7
경상남도,고성군,3.7,1.3
경상남도,거창군,3.7,1.3
경상남도,의령군,3.7,0.5
경상남도,산청군,3.7,0.9
경상남도,함양군,3.7,1.1
경상북도,구미시,1.4,12.0
경상북도,경산시,1.4,10.9
경상북도,경주시,1.4,10.4
경상북도,포항시 남구,1.4,8.9
경상북도,포항시 북구,1.4,11.1
경상북도,안동시,1.4,5.3
경상북도,칠곡군,1.4,3.7
경상북도,울진군,1.4,2.6
경상북도,영주시,1.4,4.1
경상북도,김천시,1.4,6.1
경상북도,성주군,1.4,2.1
경상북도,영천시,1.4,2.5
경상북도,예천군,1.4,3.5
경상북도,상주시,1.4,3.2
경상북도,의성군,1.4,1.4
경상북도,문경시,1.4,2.8
경상북도,영덕군,1.4,1.8
경상북도,청송군,1.4,1.2
경상북도,봉화군,1.4,1.5
경상북도,청도군,1.4,1.7
경상북도,군위군,1.4,1.0
경상북도,울릉군,1.4,0.7
경상북도,영양군,1.4,0.7
경상북도,고령군,1.4,1.1
광주광역시,광산구,17.1,28.8
광주광역시,북구,17.1,27.6
광주광역시,서구,17.1,20.7
광주광역시,남구,17.1,15.7
광주광역시,동구,17.1,7.1
대구광역시,달서구,1.4,24.9
대구광역시,수성구,1.4,17.6
대구광역시,북구,1.4,18.1
대구광역시,동구,1.4,15.4
대구광역시,달성군,1.4,11.6
대구광역시,남구,1.4,5.2
대구광역시,서구,1.4,4.9
대구광역시,중구,1.4,2.4
대전광역시,서구,1.8,32.1
대전광역시,유성구,1.8,29.8
대전광역시,중구,1.8,14.8
대전광역시,대덕구,1.8,10.8
대전광역시,동구,1.8,12.5
부산광역시,사하구,3.5,14.1
부산광역시,서구,3.5,5.9
부산광역시,부산진구,3.5,8.1
부산광역시,해운대구,3.5,9.0
부산광역시,남구,3.5,7.7
부산광역시,강서구,3.5,4.2
부산광역시,사상구,3.5,5.2
부산광역시,영도구,3.5,7.9
부산광역시,기장군,3.5,5.1
부산광역시,연제구,3.5,4.6
부산광역시,동래구,3.5,5.4
부산광역시,북구,3.5,6.6
부산광역시,중구,3.5,2.9
부산광역시,금정구,3.5,5.4
부산광역시,수영구,3.5,5.3
부산광역시,동구,3.5,2.6
서울특별시,송파구,8.9,7.6
서울특별시,관악구,8.9,5.5
서울특별시,노원구,8.9,5.0
서울특별시,강남구,8.9,5.4
서울특별시,동작구,8.9,5.2
서울특별시,강서구,8.9,5.0
서울특별시,강동구,8.9,5.3
서울특별시,은평구,8.9,4.7
서울특별시,광진구,8.9,3.8
서울특별시,마포구,8.9,3.8
서울특별시,서초구,8.9,4.1
서울특별시,영등포구,8.9,4.4
서울특별시,중랑구,8.9,3.7
서울특별시,성동구,8.9,3.7
서울특별시,성북구,8.9,4.7
서울특별시,서대문구,8.9,3.5
서울특별시,강북구,8.9,3.1
서울특별시,도봉구,8.9,2.9
서울특별시,동대문구,8.9,3.2
서울특별시,양천구,8.9,3.1
서울특별시,구로구,8.9,3.8
서울특별시,종로구,8.9,2.0
서울특별시,용산구,8.9,2.6
서울특별시,금천구,8.9,2.3
서울특별시,중구,8.9,1.6
세종특별자치시,세종특별자치시,0.5,100.0
울산광역시,울주군,0.7,23.4
울산광역시,남구,0.7,26.8
울산광역시,동구,0.7,14.6
울산광역시,북구,0.7,19.9
울산광역시,중구,0.7,15.3
인천광역시,서구,2.4,19.8
인천광역시,남동구,2.4,16.2
인천광역시,미추홀구,2.4,12.6
인천광역시,부평구,2.4,16.2
인천광역시,연수구,2.4,13.2
인천광역시,계양구,2.4,10.3
인천광역시,중구,2.4,6.2
인천광역시,강화군,2.4,2.7
인천광역시,동구,2.4,1.3
인천광역시,옹진군,2.4,1.4
전라남도,해남군,30.4,23.0
전라남도,목포시,30.4,16.1
전라남도,여수시,30.4,5.0
전라남도,강진군,30.4,6.9
전라남도,나주시,30.4,5.9
전라남도,무안군,30.4,6.8
전라남도,순천시,30.4,4.1
전라남도,영암군,30.4,4.0
전라남도,장흥군,30.4,3.7
전라남도,화순군,30.4,2.1
전라남도,진도군,30.4,1.8
전라남도,광양시,30.4,1.8
전라남도,담양군,30.4,1.1
전라남도,장성군,30.4,0.9
전라남도,보성군,30.4,1.0
전라남도,영광군,30.4,1.2
전라남도,신안군,30.4,1.1
전라남도,함평군,30.4,0.7
전라남도,고흥군,30.4,1.0
전라남도,곡성군,30.4,0.4
전라남도,구례군,30.4,0.3
